ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
GWI-44-1,http://asjp.clld.org/languages/GWI,44,GWI,gy~am,,
GXANA-44-1,http://asjp.clld.org/languages/GXANA,44,GXANA,dam,,
KHOEKHOEGOWAB-44-1,http://asjp.clld.org/languages/KHOEKHOEGOWAB,44,KHOEKHOEGOWAB,nammi,,
KHOEKHOEGOWAB-44-2,http://asjp.clld.org/languages/KHOEKHOEGOWAB,44,KHOEKHOEGOWAB,nams,,
KHOEKHOEGOWAB-44-3,http://asjp.clld.org/languages/KHOEKHOEGOWAB,44,KHOEKHOEGOWAB,lammi,,
KHOEKHOEGOWAB-44-4,http://asjp.clld.org/languages/KHOEKHOEGOWAB,44,KHOEKHOEGOWAB,tammi,,
KHWE-44-1,http://asjp.clld.org/languages/KHWE,44,KHWE,dam,,
KORANA-44-1,http://asjp.clld.org/languages/KORANA,44,KORANA,tam,,
KWADI-44-1,http://asjp.clld.org/languages/KWADI,44,KWADI,tamende,,
KWADI-44-2,http://asjp.clld.org/languages/KWADI,44,KWADI,tamedi,,
KXOE-44-1,http://asjp.clld.org/languages/KXOE,44,KXOE,tEm,,
MASARWA_TATI-44-1,http://asjp.clld.org/languages/MASARWA_TATI,44,MASARWA_TATI,dham,,
NAMA-44-1,http://asjp.clld.org/languages/NAMA,44,NAMA,nam,,
NAMA_2-44-1,http://asjp.clld.org/languages/NAMA_2,44,NAMA_2,nami,,
NARO-44-1,http://asjp.clld.org/languages/NARO,44,NARO,tam,,
NARON-44-1,http://asjp.clld.org/languages/NARON,44,NARON,dama,,
PROTO_CENTRAL_KHOISAN-44-1,http://asjp.clld.org/languages/PROTO_CENTRAL_KHOISAN,44,PROTO_CENTRAL_KHOISAN,dharn,,
PROTO_EAST_KHOE-44-1,http://asjp.clld.org/languages/PROTO_EAST_KHOE,44,PROTO_EAST_KHOE,dam,,
PROTO_WEST_KHOE-44-1,http://asjp.clld.org/languages/PROTO_WEST_KHOE,44,PROTO_WEST_KHOE,dam,,
HOAN-44-1,http://asjp.clld.org/languages/HOAN,44,HOAN,cela,,
JUHOAN-44-1,http://asjp.clld.org/languages/JUHOAN,44,JUHOAN,dth$ari,,
KAUEN-44-1,http://asjp.clld.org/languages/KAUEN,44,KAUEN,tari,,
KUNG-44-1,http://asjp.clld.org/languages/KUNG,44,KUNG,tEri,,
KUNG-44-2,http://asjp.clld.org/languages/KUNG,44,KUNG,tEni,,
O_KUNG-44-1,http://asjp.clld.org/languages/O_KUNG,44,O_KUNG,tali,,
OUNG-44-1,http://asjp.clld.org/languages/OUNG,44,OUNG,tEli,,
