ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-90-1,http://asjp.clld.org/languages/SWAHILI,90,SWAHILI,upe,,
ZULU-90-1,http://asjp.clld.org/languages/ZULU,90,ZULU,mLoph~e,,
BENG-90-1,http://asjp.clld.org/languages/BENG,90,BENG,flule,,
BENG-90-2,http://asjp.clld.org/languages/BENG,90,BENG,pu,,
BAMBARA-90-1,http://asjp.clld.org/languages/BAMBARA,90,BAMBARA,je,,
BAMBARA-90-2,http://asjp.clld.org/languages/BAMBARA,90,BAMBARA,jeman,,
TURKANA-90-1,http://asjp.clld.org/languages/TURKANA,90,TURKANA,ekwaN,,
KANURI-90-1,http://asjp.clld.org/languages/KANURI,90,KANURI,bul,,
SOMALI-90-1,http://asjp.clld.org/languages/SOMALI,90,SOMALI,Xad,,
W_OROMO-90-1,http://asjp.clld.org/languages/W_OROMO,90,W_OROMO,adi,,
MOCHA-90-1,http://asjp.clld.org/languages/MOCHA,90,MOCHA,"naC""o",,
AMHARIC-90-1,http://asjp.clld.org/languages/AMHARIC,90,AMHARIC,"n3C""",,
TIGRE-90-1,http://asjp.clld.org/languages/TIGRE,90,TIGRE,"t""X~ada",,
IRAQW-90-1,http://asjp.clld.org/languages/IRAQW,90,IRAQW,Xawak,,
HAUSA-90-1,http://asjp.clld.org/languages/HAUSA,90,HAUSA,fari,,
NGIZIM-90-1,http://asjp.clld.org/languages/NGIZIM,90,NGIZIM,arawai,,
BASQUE-90-1,http://asjp.clld.org/languages/BASQUE,90,BASQUE,zuri,,
LATVIAN-90-1,http://asjp.clld.org/languages/LATVIAN,90,LATVIAN,balc,,
LITHUANIAN-90-1,http://asjp.clld.org/languages/LITHUANIAN,90,LITHUANIAN,baltas,,
ENGLISH-90-1,http://asjp.clld.org/languages/ENGLISH,90,ENGLISH,wh~Eit,,
HINDI-90-1,http://asjp.clld.org/languages/HINDI,90,HINDI,safed,,
NEPALI-90-1,http://asjp.clld.org/languages/NEPALI,90,NEPALI,seto,,
PERSIAN-90-1,http://asjp.clld.org/languages/PERSIAN,90,PERSIAN,sefid,,
FRENCH-90-1,http://asjp.clld.org/languages/FRENCH,90,FRENCH,bla*,,
SPANISH-90-1,http://asjp.clld.org/languages/SPANISH,90,SPANISH,blanko,,
RUSSIAN-90-1,http://asjp.clld.org/languages/RUSSIAN,90,RUSSIAN,by~El,,
SERBOCROATIAN-90-1,http://asjp.clld.org/languages/SERBOCROATIAN,90,SERBOCROATIAN,beli,,
SERBOCROATIAN-90-2,http://asjp.clld.org/languages/SERBOCROATIAN,90,SERBOCROATIAN,biyeli,,
ESTONIAN-90-1,http://asjp.clld.org/languages/ESTONIAN,90,ESTONIAN,valge,,
FINNISH-90-1,http://asjp.clld.org/languages/FINNISH,90,FINNISH,valkoinen,,
HUNGARIAN-90-1,http://asjp.clld.org/languages/HUNGARIAN,90,HUNGARIAN,feher,,
EWENKI_1-90-1,http://asjp.clld.org/languages/EWENKI_1,90,EWENKI_1,bagadarin,,
TURKISH-90-1,http://asjp.clld.org/languages/TURKISH,90,TURKISH,beyaz,,
TURKISH-90-2,http://asjp.clld.org/languages/TURKISH,90,TURKISH,ak,,
ALUTOR-90-1,http://asjp.clld.org/languages/ALUTOR,90,ALUTOR,nilx3,,
CHUKCHEE-90-1,http://asjp.clld.org/languages/CHUKCHEE,90,CHUKCHEE,niLx3,,
KORYAK-90-1,http://asjp.clld.org/languages/KORYAK,90,KORYAK,nilx3,,
N_ITELMEN-90-1,http://asjp.clld.org/languages/N_ITELMEN,90,N_ITELMEN,atx,,
S_ITELMEN-90-1,http://asjp.clld.org/languages/S_ITELMEN,90,S_ITELMEN,atx,,
JAPANESE-90-1,http://asjp.clld.org/languages/JAPANESE,90,JAPANESE,Siroi,,
KOREAN-90-1,http://asjp.clld.org/languages/KOREAN,90,KOREAN,huin,,
TELUGU-90-1,http://asjp.clld.org/languages/TELUGU,90,TELUGU,vella,,
KANNADA-90-1,http://asjp.clld.org/languages/KANNADA,90,KANNADA,bele,,
KANNADA-90-2,http://asjp.clld.org/languages/KANNADA,90,KANNADA,belle,,
TAMIL-90-1,http://asjp.clld.org/languages/TAMIL,90,TAMIL,vel,,
LAHU-90-1,http://asjp.clld.org/languages/LAHU,90,LAHU,ph~i,,
CANTONESE-90-1,http://asjp.clld.org/languages/CANTONESE,90,CANTONESE,bak,,
MANDARIN-90-1,http://asjp.clld.org/languages/MANDARIN,90,MANDARIN,bair,,
TARAON-90-1,http://asjp.clld.org/languages/TARAON,90,TARAON,lyo,,
NUNG-90-1,http://asjp.clld.org/languages/NUNG,90,NUNG,ph~3k,,
SEMAI-90-1,http://asjp.clld.org/languages/SEMAI,90,SEMAI,by~Ek,,
BAHNAR-90-1,http://asjp.clld.org/languages/BAHNAR,90,BAHNAR,kok,,
CHRAU-90-1,http://asjp.clld.org/languages/CHRAU,90,CHRAU,vo7,,
CHRAU-90-2,http://asjp.clld.org/languages/CHRAU,90,CHRAU,kanaN,,
JEH-90-1,http://asjp.clld.org/languages/JEH,90,JEH,t3bok,,
SEDANG-90-1,http://asjp.clld.org/languages/SEDANG,90,SEDANG,boN,,
KUI_THAILAND-90-1,http://asjp.clld.org/languages/KUI_THAILAND,90,KUI_THAILAND,bua7,,
KHASI-90-1,http://asjp.clld.org/languages/KHASI,90,KHASI,lih,,
KHMER-90-1,http://asjp.clld.org/languages/KHMER,90,KHMER,so,,
MON-90-1,http://asjp.clld.org/languages/MON,90,MON,bu,,
NYAKUR-90-1,http://asjp.clld.org/languages/NYAKUR,90,NYAKUR,Ch~uN,,
