ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
GWI-3-1,http://asjp.clld.org/languages/GWI,3,GWI,ite,,
GXANA-3-1,http://asjp.clld.org/languages/GXANA,3,GXANA,ite,,
KHOEKHOEGOWAB-3-1,http://asjp.clld.org/languages/KHOEKHOEGOWAB,3,KHOEKHOEGOWAB,da,,
KHOEKHOEGOWAB-3-2,http://asjp.clld.org/languages/KHOEKHOEGOWAB,3,KHOEKHOEGOWAB,sida,,
KHOEKHOEGOWAB-3-3,http://asjp.clld.org/languages/KHOEKHOEGOWAB,3,KHOEKHOEGOWAB,sada,,
KHWE-3-1,http://asjp.clld.org/languages/KHWE,3,KHWE,!e,,
KWADI-3-1,http://asjp.clld.org/languages/KWADI,3,KWADI,ala,,
KWADI-3-2,http://asjp.clld.org/languages/KWADI,3,KWADI,hina,,
MASARWA_TATI-3-1,http://asjp.clld.org/languages/MASARWA_TATI,3,MASARWA_TATI,ka,,
MASARWA_TATI-3-2,http://asjp.clld.org/languages/MASARWA_TATI,3,MASARWA_TATI,ce,,
NAMA-3-1,http://asjp.clld.org/languages/NAMA,3,NAMA,da,,
NAMA-3-2,http://asjp.clld.org/languages/NAMA,3,NAMA,sida,,
NAMA_2-3-1,http://asjp.clld.org/languages/NAMA_2,3,NAMA_2,sagye,,
NAMA_2-3-2,http://asjp.clld.org/languages/NAMA_2,3,NAMA_2,sase,,
NAMA_2-3-3,http://asjp.clld.org/languages/NAMA_2,3,NAMA_2,sada,,
NARON-3-1,http://asjp.clld.org/languages/NARON,3,NARON,Si!kei,,
NARON-3-2,http://asjp.clld.org/languages/NARON,3,NARON,Sita,,
NARON-3-3,http://asjp.clld.org/languages/NARON,3,NARON,Sisi,,
PROTO_CENTRAL_KHOISAN-3-1,http://asjp.clld.org/languages/PROTO_CENTRAL_KHOISAN,3,PROTO_CENTRAL_KHOISAN,tia,,
HOAN-3-1,http://asjp.clld.org/languages/HOAN,3,HOAN,n!a,,
JUHOAN-3-1,http://asjp.clld.org/languages/JUHOAN,3,JUHOAN,m,,
JUHOAN-3-2,http://asjp.clld.org/languages/JUHOAN,3,JUHOAN,m!a,,
KAUEN-3-1,http://asjp.clld.org/languages/KAUEN,3,KAUEN,e!ka,,
KAUEN-3-2,http://asjp.clld.org/languages/KAUEN,3,KAUEN,ehe,,
KUNG-3-1,http://asjp.clld.org/languages/KUNG,3,KUNG,i,,
KUNG-3-2,http://asjp.clld.org/languages/KUNG,3,KUNG,hm,,
KUNG_EKOKA-3-1,http://asjp.clld.org/languages/KUNG_EKOKA,3,KUNG_EKOKA,e,,
O_KUNG-3-1,http://asjp.clld.org/languages/O_KUNG,3,O_KUNG,e,,
O_KUNG-3-2,http://asjp.clld.org/languages/O_KUNG,3,O_KUNG,ehN,,
O_KUNG-3-3,http://asjp.clld.org/languages/O_KUNG,3,O_KUNG,i,,
PROTO_NORTHERN_KHOISAN-3-1,http://asjp.clld.org/languages/PROTO_NORTHERN_KHOISAN,3,PROTO_NORTHERN_KHOISAN,m,,
SANDAWE-3-1,http://asjp.clld.org/languages/SANDAWE,3,SANDAWE,su*,,
AUNI-3-1,http://asjp.clld.org/languages/AUNI,3,AUNI,i,,
AUNI-3-2,http://asjp.clld.org/languages/AUNI,3,AUNI,e,,
BATWA-3-1,http://asjp.clld.org/languages/BATWA,3,BATWA,i,,
KAM_KA_KE-3-1,http://asjp.clld.org/languages/KAM_KA_KE,3,KAM_KA_KE,i,,
KAM_KA_KE-3-2,http://asjp.clld.org/languages/KAM_KA_KE,3,KAM_KA_KE,ii,,
KAM_KA_KE-3-3,http://asjp.clld.org/languages/KAM_KA_KE,3,KAM_KA_KE,it3n,,
MASARWA_KAKIA-3-1,http://asjp.clld.org/languages/MASARWA_KAKIA,3,MASARWA_KAKIA,i,,
NG_KE-3-1,http://asjp.clld.org/languages/NG_KE,3,NG_KE,i,,
NG_KE-3-2,http://asjp.clld.org/languages/NG_KE,3,NG_KE,e,,
NU_EN-3-1,http://asjp.clld.org/languages/NU_EN,3,NU_EN,i,,
XOON-3-1,http://asjp.clld.org/languages/XOON,3,XOON,ih,,
XOON-3-2,http://asjp.clld.org/languages/XOON,3,XOON,isi,,
