ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-32-1,http://asjp.clld.org/languages/SWAHILI,32,SWAHILI,ori,,
ZULU-32-1,http://asjp.clld.org/languages/ZULU,32,ZULU,futh~a,,
BENG-32-1,http://asjp.clld.org/languages/BENG,32,BENG,5olo,,
BAMBARA-32-1,http://asjp.clld.org/languages/BAMBARA,32,BAMBARA,tolo,,
TURKANA-32-1,http://asjp.clld.org/languages/TURKANA,32,TURKANA,kimiet,,
KANURI-32-1,http://asjp.clld.org/languages/KANURI,32,KANURI,kais3,,
AMHARIC-32-1,http://asjp.clld.org/languages/AMHARIC,32,AMHARIC,"k""3bat",,
TIGRE-32-1,http://asjp.clld.org/languages/TIGRE,32,TIGRE,SibiX,,
IRAQW-32-1,http://asjp.clld.org/languages/IRAQW,32,IRAQW,diXi,,
HAUSA-32-1,http://asjp.clld.org/languages/HAUSA,32,HAUSA,"maik""o",,
BASQUE-32-1,http://asjp.clld.org/languages/BASQUE,32,BASQUE,gancu,,
BASQUE-32-2,http://asjp.clld.org/languages/BASQUE,32,BASQUE,gurin,,
LATVIAN-32-1,http://asjp.clld.org/languages/LATVIAN,32,LATVIAN,tauki,,
LITHUANIAN-32-1,http://asjp.clld.org/languages/LITHUANIAN,32,LITHUANIAN,taukai,,
LITHUANIAN-32-2,http://asjp.clld.org/languages/LITHUANIAN,32,LITHUANIAN,riebalai,,
ENGLISH-32-1,http://asjp.clld.org/languages/ENGLISH,32,ENGLISH,gris,,
HINDI-32-1,http://asjp.clld.org/languages/HINDI,32,HINDI,vasa,,
NEPALI-32-1,http://asjp.clld.org/languages/NEPALI,32,NEPALI,boso,,
PERSIAN-32-1,http://asjp.clld.org/languages/PERSIAN,32,PERSIAN,roGan,,
FRENCH-32-1,http://asjp.clld.org/languages/FRENCH,32,FRENCH,grais,,
SPANISH-32-1,http://asjp.clld.org/languages/SPANISH,32,SPANISH,grasa,,
RUSSIAN-32-1,http://asjp.clld.org/languages/RUSSIAN,32,RUSSIAN,Z3r,,
SERBOCROATIAN-32-1,http://asjp.clld.org/languages/SERBOCROATIAN,32,SERBOCROATIAN,debly~ina,,
SERBOCROATIAN-32-2,http://asjp.clld.org/languages/SERBOCROATIAN,32,SERBOCROATIAN,salo,,
ESTONIAN-32-1,http://asjp.clld.org/languages/ESTONIAN,32,ESTONIAN,rasv,,
FINNISH-32-1,http://asjp.clld.org/languages/FINNISH,32,FINNISH,rasva,,
HUNGARIAN-32-1,http://asjp.clld.org/languages/HUNGARIAN,32,HUNGARIAN,Zir,,
TURKISH-32-1,http://asjp.clld.org/languages/TURKISH,32,TURKISH,ya,,
ALUTOR-32-1,http://asjp.clld.org/languages/ALUTOR,32,ALUTOR,as73n,,
CHUKCHEE-32-1,http://asjp.clld.org/languages/CHUKCHEE,32,CHUKCHEE,es73n,,
KORYAK-32-1,http://asjp.clld.org/languages/KORYAK,32,KORYAK,aCX3n,,
KORYAK-32-2,http://asjp.clld.org/languages/KORYAK,32,KORYAK,m3tqil,,
N_ITELMEN-32-1,http://asjp.clld.org/languages/N_ITELMEN,32,N_ITELMEN,XamLX,,
S_ITELMEN-32-1,http://asjp.clld.org/languages/S_ITELMEN,32,S_ITELMEN,XamLX,,
S_ITELMEN-32-2,http://asjp.clld.org/languages/S_ITELMEN,32,S_ITELMEN,"qalk""",,
JAPANESE-32-1,http://asjp.clld.org/languages/JAPANESE,32,JAPANESE,juSi,,
KOREAN-32-1,http://asjp.clld.org/languages/KOREAN,32,KOREAN,kirum,,
TELUGU-32-1,http://asjp.clld.org/languages/TELUGU,32,TELUGU,krovvina,,
KANNADA-32-1,http://asjp.clld.org/languages/KANNADA,32,KANNADA,kobbida,,
KANNADA-32-2,http://asjp.clld.org/languages/KANNADA,32,KANNADA,koluppu,,
TAMIL-32-1,http://asjp.clld.org/languages/TAMIL,32,TAMIL,kolutta,,
LAHU-32-1,http://asjp.clld.org/languages/LAHU,32,LAHU,ch~i,,
CANTONESE-32-1,http://asjp.clld.org/languages/CANTONESE,32,CANTONESE,yauh,,
CANTONESE-32-2,http://asjp.clld.org/languages/CANTONESE,32,CANTONESE,seuN yau,,
MANDARIN-32-1,http://asjp.clld.org/languages/MANDARIN,32,MANDARIN,yu Cih,,
NUNG-32-1,http://asjp.clld.org/languages/NUNG,32,NUNG,pi,,
NUNG-32-2,http://asjp.clld.org/languages/NUNG,32,NUNG,lao,,
SEMAI-32-1,http://asjp.clld.org/languages/SEMAI,32,SEMAI,l7~us,,
BAHNAR-32-1,http://asjp.clld.org/languages/BAHNAR,32,BAHNAR,r3ma,,
JEH-32-1,http://asjp.clld.org/languages/JEH,32,JEH,p3dreN,,
KUI_THAILAND-32-1,http://asjp.clld.org/languages/KUI_THAILAND,32,KUI_THAILAND,5Ch~EN,,
KHMER-32-1,http://asjp.clld.org/languages/KHMER,32,KHMER,kh~la5,,
MON-32-1,http://asjp.clld.org/languages/MON,32,MON,kleN,,
NYAKUR-32-1,http://asjp.clld.org/languages/NYAKUR,32,NYAKUR,k3li5,,
MUNDARI-32-1,http://asjp.clld.org/languages/MUNDARI,32,MUNDARI,itil,,
WA-32-1,http://asjp.clld.org/languages/WA,32,WA,b3,,
RUC-32-1,http://asjp.clld.org/languages/RUC,32,RUC,kluN,,
SEDIQ-32-1,http://asjp.clld.org/languages/SEDIQ,32,SEDIQ,siaN,,
SEDIQ-32-2,http://asjp.clld.org/languages/SEDIQ,32,SEDIQ,licex,,
BALI-32-1,http://asjp.clld.org/languages/BALI,32,BALI,muluk,,
GAURA_NGGAURA-32-1,http://asjp.clld.org/languages/GAURA_NGGAURA,32,GAURA_NGGAURA,habana,,
SIKA-32-1,http://asjp.clld.org/languages/SIKA,32,SIKA,wura,,
SIKA-32-2,http://asjp.clld.org/languages/SIKA,32,SIKA,leNiN,,
SOBOYO-32-1,http://asjp.clld.org/languages/SOBOYO,32,SOBOYO,mina7,,
YAMDENA-32-1,http://asjp.clld.org/languages/YAMDENA,32,YAMDENA,minak,,
CHAMORRO-32-1,http://asjp.clld.org/languages/CHAMORRO,32,CHAMORRO,manika,,
CHAMORRO-32-2,http://asjp.clld.org/languages/CHAMORRO,32,CHAMORRO,sebu,,
CHAM_EASTERN-32-1,http://asjp.clld.org/languages/CHAM_EASTERN,32,CHAM_EASTERN,lam3k,,
INDONESIAN-32-1,http://asjp.clld.org/languages/INDONESIAN,32,INDONESIAN,lemak,,
HANUNOO-32-1,http://asjp.clld.org/languages/HANUNOO,32,HANUNOO,taba7,,
TAGALOG-32-1,http://asjp.clld.org/languages/TAGALOG,32,TAGALOG,taba,,
IMOROD-32-1,http://asjp.clld.org/languages/IMOROD,32,IMOROD,avo,,
IMOROD-32-2,http://asjp.clld.org/languages/IMOROD,32,IMOROD,tava,,
KAPAMPANGAN-32-1,http://asjp.clld.org/languages/KAPAMPANGAN,32,KAPAMPANGAN,taba7,,
BANONI-32-1,http://asjp.clld.org/languages/BANONI,32,BANONI,mariNi,,
CAROLINIAN-32-1,http://asjp.clld.org/languages/CAROLINIAN,32,CAROLINIAN,wi,,
CAROLINIAN-32-2,http://asjp.clld.org/languages/CAROLINIAN,32,CAROLINIAN,mw~atika,,
FIJIAN-32-1,http://asjp.clld.org/languages/FIJIAN,32,FIJIAN,uro,,
GAPAPAIWA-32-1,http://asjp.clld.org/languages/GAPAPAIWA,32,GAPAPAIWA,monamona,,
HAWAIIAN-32-1,http://asjp.clld.org/languages/HAWAIIAN,32,HAWAIIAN,aila,,
KAIRIRU-32-1,http://asjp.clld.org/languages/KAIRIRU,32,KAIRIRU,mo5,,
KAULONG-32-1,http://asjp.clld.org/languages/KAULONG,32,KAULONG,tuleN,,
KILIVILA-32-1,http://asjp.clld.org/languages/KILIVILA,32,KILIVILA,posa,,
KOKOTA-32-1,http://asjp.clld.org/languages/KOKOTA,32,KOKOTA,maliri,,
KUSAIE-32-1,http://asjp.clld.org/languages/KUSAIE,32,KUSAIE,fet,,
LOU-32-1,http://asjp.clld.org/languages/LOU,32,LOU,neneman,,
NALIK-32-1,http://asjp.clld.org/languages/NALIK,32,NALIK,walak,,
ROVIANA-32-1,http://asjp.clld.org/languages/ROVIANA,32,ROVIANA,deana,,
SAMOAN-32-1,http://asjp.clld.org/languages/SAMOAN,32,SAMOAN,Na7o,,
SAMOAN-32-2,http://asjp.clld.org/languages/SAMOAN,32,SAMOAN,fa7aNa7o,,
SIAR-32-1,http://asjp.clld.org/languages/SIAR,32,SIAR,kakavin,,
SISIQA-32-1,http://asjp.clld.org/languages/SISIQA,32,SISIQA,voae,,
SUDEST-32-1,http://asjp.clld.org/languages/SUDEST,32,SUDEST,loxe,,
TAIOF-32-1,http://asjp.clld.org/languages/TAIOF,32,TAIOF,kovar,,
TAKIA-32-1,http://asjp.clld.org/languages/TAKIA,32,TAKIA,NrNur,,
TUNGAK-32-1,http://asjp.clld.org/languages/TUNGAK,32,TUNGAK,uNan,,
VITU-32-1,http://asjp.clld.org/languages/VITU,32,VITU,pudupudu,,
C_AMIS-32-1,http://asjp.clld.org/languages/C_AMIS,32,C_AMIS,simar,,
FAVORLANG-32-1,http://asjp.clld.org/languages/FAVORLANG,32,FAVORLANG,hema,,
BULI-32-1,http://asjp.clld.org/languages/BULI,32,BULI,mna,,
GIMAN-32-1,http://asjp.clld.org/languages/GIMAN,32,GIMAN,gaji,,
SUNDANESE-32-1,http://asjp.clld.org/languages/SUNDANESE,32,SUNDANESE,lemak,,
SUNDANESE-32-2,http://asjp.clld.org/languages/SUNDANESE,32,SUNDANESE,gajih,,
YAPESE-32-1,http://asjp.clld.org/languages/YAPESE,32,YAPESE,mam,,
NASIOI-32-1,http://asjp.clld.org/languages/NASIOI,32,NASIOI,menanka,,
TOARIPI-32-1,http://asjp.clld.org/languages/TOARIPI,32,TOARIPI,tapare,,
AUYANA-32-1,http://asjp.clld.org/languages/AUYANA,32,AUYANA,masawemba,,
AWA-32-1,http://asjp.clld.org/languages/AWA,32,AWA,mayewe,,
GADSUP-32-1,http://asjp.clld.org/languages/GADSUP,32,GADSUP,basapemi,,
N_TAIRORA-32-1,http://asjp.clld.org/languages/N_TAIRORA,32,N_TAIRORA,bahabera,,
YAGARIA-32-1,http://asjp.clld.org/languages/YAGARIA,32,YAGARIA,agusa,,
YAGARIA-32-2,http://asjp.clld.org/languages/YAGARIA,32,YAGARIA,falava,,
KEWA-32-1,http://asjp.clld.org/languages/KEWA,32,KEWA,apa,,
KEWA-32-2,http://asjp.clld.org/languages/KEWA,32,KEWA,girisi,,
BURUM-32-1,http://asjp.clld.org/languages/BURUM,32,BURUM,kelok,,
DEDUA-32-1,http://asjp.clld.org/languages/DEDUA,32,DEDUA,wokemaN,,
HUBE-32-1,http://asjp.clld.org/languages/HUBE,32,HUBE,harek,,
KATE-32-1,http://asjp.clld.org/languages/KATE,32,KATE,wokemaN,,
KOMBA-32-1,http://asjp.clld.org/languages/KOMBA,32,KOMBA,kelok,,
KOSORONG-32-1,http://asjp.clld.org/languages/KOSORONG,32,KOSORONG,kelega,,
MAPE_2-32-1,http://asjp.clld.org/languages/MAPE_2,32,MAPE_2,wici,,
MINDIK-32-1,http://asjp.clld.org/languages/MINDIK,32,MINDIK,kelok,,
MOMOLILI-32-1,http://asjp.clld.org/languages/MOMOLILI,32,MOMOLILI,ker3k,,
NABAK-32-1,http://asjp.clld.org/languages/NABAK,32,NABAK,kerak,,
ONO-32-1,http://asjp.clld.org/languages/ONO,32,ONO,kelok,,
SELEPET-32-1,http://asjp.clld.org/languages/SELEPET,32,SELEPET,kelu,,
TIMBE-32-1,http://asjp.clld.org/languages/TIMBE,32,TIMBE,kelu,,
TOBO-32-1,http://asjp.clld.org/languages/TOBO,32,TOBO,kalak,,
YAREBA-32-1,http://asjp.clld.org/languages/YAREBA,32,YAREBA,kewea,,
YAREBA-32-2,http://asjp.clld.org/languages/YAREBA,32,YAREBA,aru,,
NUNGGUBUYU-32-1,http://asjp.clld.org/languages/NUNGGUBUYU,32,NUNGGUBUYU,maNaj,,
C_CARRIER-32-1,http://asjp.clld.org/languages/C_CARRIER,32,C_CARRIER,qe,,
NAVAJO-32-1,http://asjp.clld.org/languages/NAVAJO,32,NAVAJO,"ak""ah",,
