ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-7-1,http://asjp.clld.org/languages/SWAHILI,7,SWAHILI,nini,,
ZULU-7-1,http://asjp.clld.org/languages/ZULU,7,ZULU,ni,,
BAMBARA-7-1,http://asjp.clld.org/languages/BAMBARA,7,BAMBARA,mun,,
TURKANA-7-1,http://asjp.clld.org/languages/TURKANA,7,TURKANA,nyo,,
KANURI-7-1,http://asjp.clld.org/languages/KANURI,7,KANURI,abi,,
SOMALI-7-1,http://asjp.clld.org/languages/SOMALI,7,SOMALI,iya,,
SOMALI-7-2,http://asjp.clld.org/languages/SOMALI,7,SOMALI,maXa,,
W_OROMO-7-1,http://asjp.clld.org/languages/W_OROMO,7,W_OROMO,mal,,
MOCHA-7-1,http://asjp.clld.org/languages/MOCHA,7,MOCHA,omo,,
AMHARIC-7-1,http://asjp.clld.org/languages/AMHARIC,7,AMHARIC,m3nd~3r,,
AMHARIC-7-2,http://asjp.clld.org/languages/AMHARIC,7,AMHARIC,m3nd~3n,,
TIGRE-7-1,http://asjp.clld.org/languages/TIGRE,7,TIGRE,mi,,
IRAQW-7-1,http://asjp.clld.org/languages/IRAQW,7,IRAQW,mila,,
HAUSA-7-1,http://asjp.clld.org/languages/HAUSA,7,HAUSA,me,,
NGIZIM-7-1,http://asjp.clld.org/languages/NGIZIM,7,NGIZIM,tam,,
NGIZIM-7-2,http://asjp.clld.org/languages/NGIZIM,7,NGIZIM,mo,,
BASQUE-7-1,http://asjp.clld.org/languages/BASQUE,7,BASQUE,zer,,
BASQUE-7-2,http://asjp.clld.org/languages/BASQUE,7,BASQUE,zein,,
LATVIAN-7-1,http://asjp.clld.org/languages/LATVIAN,7,LATVIAN,kas,,
LITHUANIAN-7-1,http://asjp.clld.org/languages/LITHUANIAN,7,LITHUANIAN,kas,,
ENGLISH-7-1,http://asjp.clld.org/languages/ENGLISH,7,ENGLISH,wh~at,,
HINDI-7-1,http://asjp.clld.org/languages/HINDI,7,HINDI,ky~a,,
PERSIAN-7-1,http://asjp.clld.org/languages/PERSIAN,7,PERSIAN,Ci,,
FRENCH-7-1,http://asjp.clld.org/languages/FRENCH,7,FRENCH,kwa,,
