ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-88-1,http://asjp.clld.org/languages/SWAHILI,88,SWAHILI,kijani,,
ZULU-88-1,http://asjp.clld.org/languages/ZULU,88,ZULU,luLaza,,
ZULU-88-2,http://asjp.clld.org/languages/ZULU,88,ZULU,Calo,,
BENG-88-1,http://asjp.clld.org/languages/BENG,88,BENG,gw~igw~i,,
BAMBARA-88-1,http://asjp.clld.org/languages/BAMBARA,88,BAMBARA,geren,,
TURKANA-88-1,http://asjp.clld.org/languages/TURKANA,88,TURKANA,loaliban,,
KANURI-88-1,http://asjp.clld.org/languages/KANURI,88,KANURI,k3li,,
SOMALI-88-1,http://asjp.clld.org/languages/SOMALI,88,SOMALI,axdar,,
SOMALI-88-2,http://asjp.clld.org/languages/SOMALI,88,SOMALI,dog,,
W_OROMO-88-1,http://asjp.clld.org/languages/W_OROMO,88,W_OROMO,bifa marga,,
MOCHA-88-1,http://asjp.clld.org/languages/MOCHA,88,MOCHA,qoZi,,
AMHARIC-88-1,http://asjp.clld.org/languages/AMHARIC,88,AMHARIC,ar3ngw$ade,,
TIGRE-88-1,http://asjp.clld.org/languages/TIGRE,88,TIGRE,sX~arsX~aro,,
IRAQW-88-1,http://asjp.clld.org/languages/IRAQW,88,IRAQW,"k""ant""ar",,
HAUSA-88-1,http://asjp.clld.org/languages/HAUSA,88,HAUSA,kore,,
NGIZIM-88-1,http://asjp.clld.org/languages/NGIZIM,88,NGIZIM,gaLa,,
BASQUE-88-1,http://asjp.clld.org/languages/BASQUE,88,BASQUE,orlegi,,
BASQUE-88-2,http://asjp.clld.org/languages/BASQUE,88,BASQUE,berde,,
LATVIAN-88-1,http://asjp.clld.org/languages/LATVIAN,88,LATVIAN,zaLS,,
LITHUANIAN-88-1,http://asjp.clld.org/languages/LITHUANIAN,88,LITHUANIAN,Zalias,,
LITHUANIAN-88-2,http://asjp.clld.org/languages/LITHUANIAN,88,LITHUANIAN,nesubrendes,,
ENGLISH-88-1,http://asjp.clld.org/languages/ENGLISH,88,ENGLISH,grin,,
HINDI-88-1,http://asjp.clld.org/languages/HINDI,88,HINDI,hara,,
NEPALI-88-1,http://asjp.clld.org/languages/NEPALI,88,NEPALI,hariyo,,
PERSIAN-88-1,http://asjp.clld.org/languages/PERSIAN,88,PERSIAN,sabz,,
FRENCH-88-1,http://asjp.clld.org/languages/FRENCH,88,FRENCH,ver,,
SPANISH-88-1,http://asjp.clld.org/languages/SPANISH,88,SPANISH,verde,,
RUSSIAN-88-1,http://asjp.clld.org/languages/RUSSIAN,88,RUSSIAN,zy~ily~on,,
SERBOCROATIAN-88-1,http://asjp.clld.org/languages/SERBOCROATIAN,88,SERBOCROATIAN,zeleni,,
ESTONIAN-88-1,http://asjp.clld.org/languages/ESTONIAN,88,ESTONIAN,roheline,,
FINNISH-88-1,http://asjp.clld.org/languages/FINNISH,88,FINNISH,vihreE,,
HUNGARIAN-88-1,http://asjp.clld.org/languages/HUNGARIAN,88,HUNGARIAN,zild,,
TURKISH-88-1,http://asjp.clld.org/languages/TURKISH,88,TURKISH,yeSil,,
TURKISH-88-2,http://asjp.clld.org/languages/TURKISH,88,TURKISH,ham,,
ALUTOR-88-1,http://asjp.clld.org/languages/ALUTOR,88,ALUTOR,lilita,,
CHUKCHEE-88-1,http://asjp.clld.org/languages/CHUKCHEE,88,CHUKCHEE,n3wtesx3tr3,,
KORYAK-88-1,http://asjp.clld.org/languages/KORYAK,88,KORYAK,nutelx3ya,,
N_ITELMEN-88-1,http://asjp.clld.org/languages/N_ITELMEN,88,N_ITELMEN,p,,
N_ITELMEN-88-2,http://asjp.clld.org/languages/N_ITELMEN,88,N_ITELMEN,p3Lx3,,
S_ITELMEN-88-1,http://asjp.clld.org/languages/S_ITELMEN,88,S_ITELMEN,pL,,
JAPANESE-88-1,http://asjp.clld.org/languages/JAPANESE,88,JAPANESE,midori,,
JAPANESE-88-2,http://asjp.clld.org/languages/JAPANESE,88,JAPANESE,aoao Sita,,
KOREAN-88-1,http://asjp.clld.org/languages/KOREAN,88,KOREAN,Corok sEk,,
TELUGU-88-1,http://asjp.clld.org/languages/TELUGU,88,TELUGU,paCCi,,
KANNADA-88-1,http://asjp.clld.org/languages/KANNADA,88,KANNADA,has,,
KANNADA-88-2,http://asjp.clld.org/languages/KANNADA,88,KANNADA,paCCe,,
TAMIL-88-1,http://asjp.clld.org/languages/TAMIL,88,TAMIL,paCu,,
LAHU-88-1,http://asjp.clld.org/languages/LAHU,88,LAHU,no,,
CANTONESE-88-1,http://asjp.clld.org/languages/CANTONESE,88,CANTONESE,luk ge,,
CANTONESE-88-2,http://asjp.clld.org/languages/CANTONESE,88,CANTONESE,CeN ge,,
MANDARIN-88-1,http://asjp.clld.org/languages/MANDARIN,88,MANDARIN,liuh Se,,
TARAON-88-1,http://asjp.clld.org/languages/TARAON,88,TARAON,tyaN a,,
NUNG-88-1,http://asjp.clld.org/languages/NUNG,88,NUNG,kh~eo,,
BAHNAR-88-1,http://asjp.clld.org/languages/BAHNAR,88,BAHNAR,Z3k,,
JEH-88-1,http://asjp.clld.org/languages/JEH,88,JEH,drih,,
SEDANG-88-1,http://asjp.clld.org/languages/SEDANG,88,SEDANG,jeh,,
KHMER-88-1,http://asjp.clld.org/languages/KHMER,88,KHMER,paytaN,,
MON-88-1,http://asjp.clld.org/languages/MON,88,MON,saNeak,,
NYAKUR-88-1,http://asjp.clld.org/languages/NYAKUR,88,NYAKUR,l3Cok,,
MUNDARI-88-1,http://asjp.clld.org/languages/MUNDARI,88,MUNDARI,gaded,,
DEANG-88-1,http://asjp.clld.org/languages/DEANG,88,DEANG,5iar,,
KHMU-88-1,http://asjp.clld.org/languages/KHMU,88,KHMU,C3Nar,,
KSINMUL-88-1,http://asjp.clld.org/languages/KSINMUL,88,KSINMUL,le,,
WA-88-1,http://asjp.clld.org/languages/WA,88,WA,klai,,
RUC-88-1,http://asjp.clld.org/languages/RUC,88,RUC,seN,,
SEDIQ-88-1,http://asjp.clld.org/languages/SEDIQ,88,SEDIQ,musama,,
BALI-88-1,http://asjp.clld.org/languages/BALI,88,BALI,gadaN,,
