ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-56-1,http://asjp.clld.org/languages/SWAHILI,56,SWAHILI,donoa,,
ZULU-56-1,http://asjp.clld.org/languages/ZULU,56,ZULU,luma,,
ZULU-56-2,http://asjp.clld.org/languages/ZULU,56,ZULU,zavuza,,
BENG-56-1,http://asjp.clld.org/languages/BENG,56,BENG,pa,,
BENG-56-2,http://asjp.clld.org/languages/BENG,56,BENG,sobi,,
TURKANA-56-1,http://asjp.clld.org/languages/TURKANA,56,TURKANA,kony,,
KANURI-56-1,http://asjp.clld.org/languages/KANURI,56,KANURI,timin ta,,
KANURI-56-2,http://asjp.clld.org/languages/KANURI,56,KANURI,nand~o,,
SOMALI-56-1,http://asjp.clld.org/languages/SOMALI,56,SOMALI,qanin,,
W_OROMO-56-1,http://asjp.clld.org/languages/W_OROMO,56,W_OROMO,"C""inina",,
MOCHA-56-1,http://asjp.clld.org/languages/MOCHA,56,MOCHA,"SoC""i",,
AMHARIC-56-1,http://asjp.clld.org/languages/AMHARIC,56,AMHARIC,n3k3s3,,
TIGRE-56-1,http://asjp.clld.org/languages/TIGRE,56,TIGRE,nakSa,,
TIGRE-56-2,http://asjp.clld.org/languages/TIGRE,56,TIGRE,nikaS,,
IRAQW-56-1,http://asjp.clld.org/languages/IRAQW,56,IRAQW,kiX,,
HAUSA-56-1,http://asjp.clld.org/languages/HAUSA,56,HAUSA,Tiza,,
HAUSA-56-2,http://asjp.clld.org/languages/HAUSA,56,HAUSA,Tije,,
NGIZIM-56-1,http://asjp.clld.org/languages/NGIZIM,56,NGIZIM,gadu,,
BASQUE-56-1,http://asjp.clld.org/languages/BASQUE,56,BASQUE,hozka,,
BASQUE-56-2,http://asjp.clld.org/languages/BASQUE,56,BASQUE,haginka,,
LATVIAN-56-1,http://asjp.clld.org/languages/LATVIAN,56,LATVIAN,kos,,
LITHUANIAN-56-1,http://asjp.clld.org/languages/LITHUANIAN,56,LITHUANIAN,kas,,
LITHUANIAN-56-2,http://asjp.clld.org/languages/LITHUANIAN,56,LITHUANIAN,gel,,
ENGLISH-56-1,http://asjp.clld.org/languages/ENGLISH,56,ENGLISH,bEit,,
HINDI-56-1,http://asjp.clld.org/languages/HINDI,56,HINDI,ka,,
NEPALI-56-1,http://asjp.clld.org/languages/NEPALI,56,NEPALI,toknu,,
PERSIAN-56-1,http://asjp.clld.org/languages/PERSIAN,56,PERSIAN,gazid,,
FRENCH-56-1,http://asjp.clld.org/languages/FRENCH,56,FRENCH,mord,,
SPANISH-56-1,http://asjp.clld.org/languages/SPANISH,56,SPANISH,morde,,
RUSSIAN-56-1,http://asjp.clld.org/languages/RUSSIAN,56,RUSSIAN,gr3sy~,,
RUSSIAN-56-2,http://asjp.clld.org/languages/RUSSIAN,56,RUSSIAN,kusa,,
SERBOCROATIAN-56-1,http://asjp.clld.org/languages/SERBOCROATIAN,56,SERBOCROATIAN,uyes,,
SERBOCROATIAN-56-2,http://asjp.clld.org/languages/SERBOCROATIAN,56,SERBOCROATIAN,gris,,
ESTONIAN-56-1,http://asjp.clld.org/languages/ESTONIAN,56,ESTONIAN,hammusta,,
FINNISH-56-1,http://asjp.clld.org/languages/FINNISH,56,FINNISH,pure,,
HUNGARIAN-56-1,http://asjp.clld.org/languages/HUNGARIAN,56,HUNGARIAN,harap,,
TURKISH-56-1,http://asjp.clld.org/languages/TURKISH,56,TURKISH,3s3rma,,
TURKISH-56-2,http://asjp.clld.org/languages/TURKISH,56,TURKISH,lokma,,
ALUTOR-56-1,http://asjp.clld.org/languages/ALUTOR,56,ALUTOR,y3xukki,,
CHUKCHEE-56-1,http://asjp.clld.org/languages/CHUKCHEE,56,CHUKCHEE,yu,,
KORYAK-56-1,http://asjp.clld.org/languages/KORYAK,56,KORYAK,y3xu,,
KORYAK-56-2,http://asjp.clld.org/languages/KORYAK,56,KORYAK,yelu,,
N_ITELMEN-56-1,http://asjp.clld.org/languages/N_ITELMEN,56,N_ITELMEN,3mpalaL,,
N_ITELMEN-56-2,http://asjp.clld.org/languages/N_ITELMEN,56,N_ITELMEN,l3lpL,,
S_ITELMEN-56-1,http://asjp.clld.org/languages/S_ITELMEN,56,S_ITELMEN,lelpLes,,
S_ITELMEN-56-2,http://asjp.clld.org/languages/S_ITELMEN,56,S_ITELMEN,p3l,,
JAPANESE-56-1,http://asjp.clld.org/languages/JAPANESE,56,JAPANESE,kamu,,
KOREAN-56-1,http://asjp.clld.org/languages/KOREAN,56,KOREAN,mul,,
TELUGU-56-1,http://asjp.clld.org/languages/TELUGU,56,TELUGU,karaCu,,
KANNADA-56-1,http://asjp.clld.org/languages/KANNADA,56,KANNADA,kadi,,
KANNADA-56-2,http://asjp.clld.org/languages/KANNADA,56,KANNADA,kaCCu,,
TAMIL-56-1,http://asjp.clld.org/languages/TAMIL,56,TAMIL,kati,,
LAHU-56-1,http://asjp.clld.org/languages/LAHU,56,LAHU,ch~e,,
LAHU-56-2,http://asjp.clld.org/languages/LAHU,56,LAHU,th~3,,
CANTONESE-56-1,http://asjp.clld.org/languages/CANTONESE,56,CANTONESE,Nauh,,
MANDARIN-56-1,http://asjp.clld.org/languages/MANDARIN,56,MANDARIN,yao,,
TARAON-56-1,http://asjp.clld.org/languages/TARAON,56,TARAON,kraN,,
TARAON-56-2,http://asjp.clld.org/languages/TARAON,56,TARAON,8ag,,
NUNG-56-1,http://asjp.clld.org/languages/NUNG,56,NUNG,kh~op,,
NUNG-56-2,http://asjp.clld.org/languages/NUNG,56,NUNG,det,,
SEMAI-56-1,http://asjp.clld.org/languages/SEMAI,56,SEMAI,kap,,
BAHNAR-56-1,http://asjp.clld.org/languages/BAHNAR,56,BAHNAR,kap,,
JEH-56-1,http://asjp.clld.org/languages/JEH,56,JEH,kap,,
SEDANG-56-1,http://asjp.clld.org/languages/SEDANG,56,SEDANG,ren,,
KUI_THAILAND-56-1,http://asjp.clld.org/languages/KUI_THAILAND,56,KUI_THAILAND,kap,,
KHASI-56-1,http://asjp.clld.org/languages/KHASI,56,KHASI,dait,,
KHMER-56-1,http://asjp.clld.org/languages/KHMER,56,KHMER,kh~am,,
MON-56-1,http://asjp.clld.org/languages/MON,56,MON,kit,,
NYAKUR-56-1,http://asjp.clld.org/languages/NYAKUR,56,NYAKUR,k3t,,
MUNDARI-56-1,http://asjp.clld.org/languages/MUNDARI,56,MUNDARI,hua,,
DEANG-56-1,http://asjp.clld.org/languages/DEANG,56,DEANG,ga7,,
KHMU-56-1,http://asjp.clld.org/languages/KHMU,56,KHMU,pok,,
KSINMUL-56-1,http://asjp.clld.org/languages/KSINMUL,56,KSINMUL,ak,,
WA-56-1,http://asjp.clld.org/languages/WA,56,WA,kiat,,
RUC-56-1,http://asjp.clld.org/languages/RUC,56,RUC,kom,,
SEDIQ-56-1,http://asjp.clld.org/languages/SEDIQ,56,SEDIQ,3miut,,
SEDIQ-56-2,http://asjp.clld.org/languages/SEDIQ,56,SEDIQ,3m37uN,,
BALI-56-1,http://asjp.clld.org/languages/BALI,56,BALI,ny~egut,,
GAURA_NGGAURA-56-1,http://asjp.clld.org/languages/GAURA_NGGAURA,56,GAURA_NGGAURA,hakati,,
SIKA-56-1,http://asjp.clld.org/languages/SIKA,56,SIKA,gi,,
SOBOYO-56-1,http://asjp.clld.org/languages/SOBOYO,56,SOBOYO,tolo5,,
SOBOYO-56-2,http://asjp.clld.org/languages/SOBOYO,56,SOBOYO,koki,,
YAMDENA-56-1,http://asjp.clld.org/languages/YAMDENA,56,YAMDENA,karat,,
CHAMORRO-56-1,http://asjp.clld.org/languages/CHAMORRO,56,CHAMORRO,akka7,,
CHAM_EASTERN-56-1,http://asjp.clld.org/languages/CHAM_EASTERN,56,CHAM_EASTERN,kaik,,
INDONESIAN-56-1,http://asjp.clld.org/languages/INDONESIAN,56,INDONESIAN,gigit,,
HANUNOO-56-1,http://asjp.clld.org/languages/HANUNOO,56,HANUNOO,kagat,,
