ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
GWI-85-1,http://asjp.clld.org/languages/GWI,85,GWI,gy~o,,
GXANA-85-1,http://asjp.clld.org/languages/GXANA,85,GXANA,dao,,
KHOEKHOEGOWAB-85-1,http://asjp.clld.org/languages/KHOEKHOEGOWAB,85,KHOEKHOEGOWAB,daob,,
KHWE-85-1,http://asjp.clld.org/languages/KHWE,85,KHWE,dao,,
KORANA-85-1,http://asjp.clld.org/languages/KORANA,85,KORANA,tao,,
KXOE-85-1,http://asjp.clld.org/languages/KXOE,85,KXOE,tEo,,
MASARWA_TATI-85-1,http://asjp.clld.org/languages/MASARWA_TATI,85,MASARWA_TATI,dhau,,
NAMA-85-1,http://asjp.clld.org/languages/NAMA,85,NAMA,dao,,
NAMA_2-85-1,http://asjp.clld.org/languages/NAMA_2,85,NAMA_2,daob,,
NARO-85-1,http://asjp.clld.org/languages/NARO,85,NARO,tao,,
NARON-85-1,http://asjp.clld.org/languages/NARON,85,NARON,dauba,,
NARON-85-2,http://asjp.clld.org/languages/NARON,85,NARON,dumba,,
PROTO_CENTRAL_KHOISAN-85-1,http://asjp.clld.org/languages/PROTO_CENTRAL_KHOISAN,85,PROTO_CENTRAL_KHOISAN,dhau,,
PROTO_EAST_KHOE-85-1,http://asjp.clld.org/languages/PROTO_EAST_KHOE,85,PROTO_EAST_KHOE,dao,,
PROTO_KHOE-85-1,http://asjp.clld.org/languages/PROTO_KHOE,85,PROTO_KHOE,dao,,
PROTO_WEST_KHOE-85-1,http://asjp.clld.org/languages/PROTO_WEST_KHOE,85,PROTO_WEST_KHOE,dao,,
HOAN-85-1,http://asjp.clld.org/languages/HOAN,85,HOAN,Zeo,,
JUHOAN-85-1,http://asjp.clld.org/languages/JUHOAN,85,JUHOAN,!N~ama,,
JUHOAN-85-2,http://asjp.clld.org/languages/JUHOAN,85,JUHOAN,!kh$a,,
KAUEN-85-1,http://asjp.clld.org/languages/KAUEN,85,KAUEN,dausa,,
KAUEN-85-2,http://asjp.clld.org/languages/KAUEN,85,KAUEN,!ka,,
KUNG-85-1,http://asjp.clld.org/languages/KUNG,85,KUNG,ku,,
KUNG-85-2,http://asjp.clld.org/languages/KUNG,85,KUNG,!kha,,
KUNG_EKOKA-85-1,http://asjp.clld.org/languages/KUNG_EKOKA,85,KUNG_EKOKA,kuhu,,
O_KUNG-85-1,http://asjp.clld.org/languages/O_KUNG,85,O_KUNG,!ka,,
OUNG-85-1,http://asjp.clld.org/languages/OUNG,85,OUNG,!k~E,,
PROTO_NORTHERN_KHOISAN-85-1,http://asjp.clld.org/languages/PROTO_NORTHERN_KHOISAN,85,PROTO_NORTHERN_KHOISAN,!h~a,,
SANDAWE-85-1,http://asjp.clld.org/languages/SANDAWE,85,SANDAWE,!o,,
AUNI-85-1,http://asjp.clld.org/languages/AUNI,85,AUNI,!ane,,
KAM_KA_KE-85-1,http://asjp.clld.org/languages/KAM_KA_KE,85,KAM_KA_KE,!xara,,
KAM_KA_KE-85-2,http://asjp.clld.org/languages/KAM_KA_KE,85,KAM_KA_KE,!kaue,,
MASARWA_KAKIA-85-1,http://asjp.clld.org/languages/MASARWA_KAKIA,85,MASARWA_KAKIA,dau,,
NG_KE-85-1,http://asjp.clld.org/languages/NG_KE,85,NG_KE,tirau,,
NU-85-1,http://asjp.clld.org/languages/NU,85,NU,!an,,
NU_EN-85-1,http://asjp.clld.org/languages/NU_EN,85,NU_EN,dau,,
NU_EN-85-2,http://asjp.clld.org/languages/NU_EN,85,NU_EN,!kare !ka*,,
XOON-85-1,http://asjp.clld.org/languages/XOON,85,XOON,dao,,
XOON_MASARWA-85-1,http://asjp.clld.org/languages/XOON_MASARWA,85,XOON_MASARWA,dau,,
XOON_NUEN-85-1,http://asjp.clld.org/languages/XOON_NUEN,85,XOON_NUEN,dau,,
BALI_NIGERIA-85-1,http://asjp.clld.org/languages/BALI_NIGERIA,85,BALI_NIGERIA,kp~iya,,
BESME-85-1,http://asjp.clld.org/languages/BESME,85,BESME,vump~ul,,
BON_GULA-85-1,http://asjp.clld.org/languages/BON_GULA,85,BON_GULA,horo,,
DAY-85-1,http://asjp.clld.org/languages/DAY,85,DAY,n3*,,
DOOHWAAYAAYO-85-1,http://asjp.clld.org/languages/DOOHWAAYAAYO,85,DOOHWAAYAAYO,gbonowa,,
DOOHWAAYAAYO-85-2,http://asjp.clld.org/languages/DOOHWAAYAAYO,85,DOOHWAAYAAYO,gbonowayo,,
FALI-85-1,http://asjp.clld.org/languages/FALI,85,FALI,ori,,
GALKE-85-1,http://asjp.clld.org/languages/GALKE,85,GALKE,maful,,
GENGLE-85-1,http://asjp.clld.org/languages/GENGLE,85,GENGLE,dakpw$a,,
GOUNDO-85-1,http://asjp.clld.org/languages/GOUNDO,85,GOUNDO,v3na,,
GULA_IRO-85-1,http://asjp.clld.org/languages/GULA_IRO,85,GULA_IRO,ul,,
GULA_IRO-85-2,http://asjp.clld.org/languages/GULA_IRO,85,GULA_IRO,ude,,
KALI-85-1,http://asjp.clld.org/languages/KALI,85,KALI,maval,,
KARANG-85-1,http://asjp.clld.org/languages/KARANG,85,KARANG,ful,,
KARANG-85-2,http://asjp.clld.org/languages/KARANG,85,KARANG,maful,,
