ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-16-1,http://asjp.clld.org/languages/SWAHILI,16,SWAHILI,bibi,,
SWAHILI-16-2,http://asjp.clld.org/languages/SWAHILI,16,SWAHILI,gaSi,,
ZULU-16-1,http://asjp.clld.org/languages/ZULU,16,ZULU,fazi,,
ZULU-16-2,http://asjp.clld.org/languages/ZULU,16,ZULU,na,,
BENG-16-1,http://asjp.clld.org/languages/BENG,16,BENG,leN,,
BENG-16-2,http://asjp.clld.org/languages/BENG,16,BENG,mama,,
BAMBARA-16-1,http://asjp.clld.org/languages/BAMBARA,16,BAMBARA,muso,,
TURKANA-16-1,http://asjp.clld.org/languages/TURKANA,16,TURKANA,beru,,
KANURI-16-1,http://asjp.clld.org/languages/KANURI,16,KANURI,kamu,,
SOMALI-16-1,http://asjp.clld.org/languages/SOMALI,16,SOMALI,nag,,
SOMALI-16-2,http://asjp.clld.org/languages/SOMALI,16,SOMALI,qof dumar ah,,
W_OROMO-16-1,http://asjp.clld.org/languages/W_OROMO,16,W_OROMO,"nad""en",,
W_OROMO-16-2,http://asjp.clld.org/languages/W_OROMO,16,W_OROMO,dubarti,,
MOCHA-16-1,http://asjp.clld.org/languages/MOCHA,16,MOCHA,moCe,,
MOCHA-16-2,http://asjp.clld.org/languages/MOCHA,16,MOCHA,gane,,
AMHARIC-16-1,http://asjp.clld.org/languages/AMHARIC,16,AMHARIC,set,,
TIGRE-16-1,http://asjp.clld.org/languages/TIGRE,16,TIGRE,isit,,
IRAQW-16-1,http://asjp.clld.org/languages/IRAQW,16,IRAQW,Xameni,,
HAUSA-16-1,http://asjp.clld.org/languages/HAUSA,16,HAUSA,maTe,,
NGIZIM-16-1,http://asjp.clld.org/languages/NGIZIM,16,NGIZIM,ama,,
NGIZIM-16-2,http://asjp.clld.org/languages/NGIZIM,16,NGIZIM,dabaku,,
BASQUE-16-1,http://asjp.clld.org/languages/BASQUE,16,BASQUE,andre,,
BASQUE-16-2,http://asjp.clld.org/languages/BASQUE,16,BASQUE,emakume,,
LATVIAN-16-1,http://asjp.clld.org/languages/LATVIAN,16,LATVIAN,sieviete,,
LITHUANIAN-16-1,http://asjp.clld.org/languages/LITHUANIAN,16,LITHUANIAN,moteris,,
ENGLISH-16-1,http://asjp.clld.org/languages/ENGLISH,16,ENGLISH,w3min,,
HINDI-16-1,http://asjp.clld.org/languages/HINDI,16,HINDI,aurat,,
HINDI-16-2,http://asjp.clld.org/languages/HINDI,16,HINDI,nari,,
NEPALI-16-1,http://asjp.clld.org/languages/NEPALI,16,NEPALI,aimai,,
NEPALI-16-2,http://asjp.clld.org/languages/NEPALI,16,NEPALI,stri,,
PERSIAN-16-1,http://asjp.clld.org/languages/PERSIAN,16,PERSIAN,zan,,
FRENCH-16-1,http://asjp.clld.org/languages/FRENCH,16,FRENCH,fam,,
SPANISH-16-1,http://asjp.clld.org/languages/SPANISH,16,SPANISH,muher,,
RUSSIAN-16-1,http://asjp.clld.org/languages/RUSSIAN,16,RUSSIAN,ZEny~Sy~in3,,
SERBOCROATIAN-16-1,http://asjp.clld.org/languages/SERBOCROATIAN,16,SERBOCROATIAN,Zena,,
ESTONIAN-16-1,http://asjp.clld.org/languages/ESTONIAN,16,ESTONIAN,naine,,
FINNISH-16-1,http://asjp.clld.org/languages/FINNISH,16,FINNISH,nainen,,
HUNGARIAN-16-1,http://asjp.clld.org/languages/HUNGARIAN,16,HUNGARIAN,ni,,
TURKISH-16-1,http://asjp.clld.org/languages/TURKISH,16,TURKISH,kad3n,,
JAPANESE-16-1,http://asjp.clld.org/languages/JAPANESE,16,JAPANESE,onna,,
