ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-26-1,http://asjp.clld.org/languages/SWAHILI,26,SWAHILI,zizi,,
ZULU-26-1,http://asjp.clld.org/languages/ZULU,26,ZULU,pand~e,,
ZULU-26-2,http://asjp.clld.org/languages/ZULU,26,ZULU,!abo,,
BENG-26-1,http://asjp.clld.org/languages/BENG,26,BENG,neneN,,
BENG-26-2,http://asjp.clld.org/languages/BENG,26,BENG,yiri ni,,
TURKANA-26-1,http://asjp.clld.org/languages/TURKANA,26,TURKANA,teni,,
KANURI-26-1,http://asjp.clld.org/languages/KANURI,26,KANURI,Si,,
KANURI-26-2,http://asjp.clld.org/languages/KANURI,26,KANURI,jar,,
SOMALI-26-1,http://asjp.clld.org/languages/SOMALI,26,SOMALI,Xidid,,
W_OROMO-26-1,http://asjp.clld.org/languages/W_OROMO,26,W_OROMO,hund~w,,
MOCHA-26-1,http://asjp.clld.org/languages/MOCHA,26,MOCHA,"C""omo",,
AMHARIC-26-1,http://asjp.clld.org/languages/AMHARIC,26,AMHARIC,s3r,,
TIGRE-26-1,http://asjp.clld.org/languages/TIGRE,26,TIGRE,Xirig,,
IRAQW-26-1,http://asjp.clld.org/languages/IRAQW,26,IRAQW,deXar,,
HAUSA-26-1,http://asjp.clld.org/languages/HAUSA,26,HAUSA,saiwa,,
NGIZIM-26-1,http://asjp.clld.org/languages/NGIZIM,26,NGIZIM,arau,,
BASQUE-26-1,http://asjp.clld.org/languages/BASQUE,26,BASQUE,erreboil,,
BASQUE-26-2,http://asjp.clld.org/languages/BASQUE,26,BASQUE,sustrai,,
LATVIAN-26-1,http://asjp.clld.org/languages/LATVIAN,26,LATVIAN,sakne,,
LITHUANIAN-26-1,http://asjp.clld.org/languages/LITHUANIAN,26,LITHUANIAN,Saknis,,
ENGLISH-26-1,http://asjp.clld.org/languages/ENGLISH,26,ENGLISH,rut,,
HINDI-26-1,http://asjp.clld.org/languages/HINDI,26,HINDI,ja,,
NEPALI-26-1,http://asjp.clld.org/languages/NEPALI,26,NEPALI,jara,,
PERSIAN-26-1,http://asjp.clld.org/languages/PERSIAN,26,PERSIAN,riSe,,
FRENCH-26-1,http://asjp.clld.org/languages/FRENCH,26,FRENCH,rasin,,
SPANISH-26-1,http://asjp.clld.org/languages/SPANISH,26,SPANISH,rais,,
RUSSIAN-26-1,http://asjp.clld.org/languages/RUSSIAN,26,RUSSIAN,kory~iny~,,
SERBOCROATIAN-26-1,http://asjp.clld.org/languages/SERBOCROATIAN,26,SERBOCROATIAN,koriyen,,
SERBOCROATIAN-26-2,http://asjp.clld.org/languages/SERBOCROATIAN,26,SERBOCROATIAN,koren,,
ESTONIAN-26-1,http://asjp.clld.org/languages/ESTONIAN,26,ESTONIAN,jur,,
FINNISH-26-1,http://asjp.clld.org/languages/FINNISH,26,FINNISH,juuri,,
HUNGARIAN-26-1,http://asjp.clld.org/languages/HUNGARIAN,26,HUNGARIAN,gy~iker,,
TURKISH-26-1,http://asjp.clld.org/languages/TURKISH,26,TURKISH,k3k,,
ALUTOR-26-1,http://asjp.clld.org/languages/ALUTOR,26,ALUTOR,tatqup,,
CHUKCHEE-26-1,http://asjp.clld.org/languages/CHUKCHEE,26,CHUKCHEE,kenm3Lx3n,,
KORYAK-26-1,http://asjp.clld.org/languages/KORYAK,26,KORYAK,tatqup,,
N_ITELMEN-26-1,http://asjp.clld.org/languages/N_ITELMEN,26,N_ITELMEN,tneqol,,
N_ITELMEN-26-2,http://asjp.clld.org/languages/N_ITELMEN,26,N_ITELMEN,tnaqol,,
S_ITELMEN-26-1,http://asjp.clld.org/languages/S_ITELMEN,26,S_ITELMEN,pNilpNil,,
JAPANESE-26-1,http://asjp.clld.org/languages/JAPANESE,26,JAPANESE,ne,,
KOREAN-26-1,http://asjp.clld.org/languages/KOREAN,26,KOREAN,buri,,
