ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
GWI-100-1,http://asjp.clld.org/languages/GWI,100,GWI,!uo5,,
GXANA-100-1,http://asjp.clld.org/languages/GXANA,100,GXANA,!uo5,,
KHOEKHOEGOWAB-100-1,http://asjp.clld.org/languages/KHOEKHOEGOWAB,100,KHOEKHOEGOWAB,!ons,,
KHOEKHOEGOWAB-100-2,http://asjp.clld.org/languages/KHOEKHOEGOWAB,100,KHOEKHOEGOWAB,!ens,,
KHOEKHOEGOWAB-100-3,http://asjp.clld.org/languages/KHOEKHOEGOWAB,100,KHOEKHOEGOWAB,!uida,,
KHOEKHOEGOWAB-100-4,http://asjp.clld.org/languages/KHOEKHOEGOWAB,100,KHOEKHOEGOWAB,!enda,,
KHWE-100-1,http://asjp.clld.org/languages/KHWE,100,KHWE,!x7on,,
KORANA-100-1,http://asjp.clld.org/languages/KORANA,100,KORANA,!x7$on,,
KXOE-100-1,http://asjp.clld.org/languages/KXOE,100,KXOE,!x7$on,,
MASARWA_TATI-100-1,http://asjp.clld.org/languages/MASARWA_TATI,100,MASARWA_TATI,!kun,,
NAMA-100-1,http://asjp.clld.org/languages/NAMA,100,NAMA,!on,,
NAMA_2-100-1,http://asjp.clld.org/languages/NAMA_2,100,NAMA_2,!ons,,
NARO-100-1,http://asjp.clld.org/languages/NARO,100,NARO,!x7on,,
NARON-100-1,http://asjp.clld.org/languages/NARON,100,NARON,!kwi*sa,,
PROTO_CENTRAL_KHOISAN-100-1,http://asjp.clld.org/languages/PROTO_CENTRAL_KHOISAN,100,PROTO_CENTRAL_KHOISAN,!kx~on,,
PROTO_EAST_KHOE-100-1,http://asjp.clld.org/languages/PROTO_EAST_KHOE,100,PROTO_EAST_KHOE,"!""on",,
PROTO_KHOE-100-1,http://asjp.clld.org/languages/PROTO_KHOE,100,PROTO_KHOE,!x7on,,
PROTO_WEST_KHOE-100-1,http://asjp.clld.org/languages/PROTO_WEST_KHOE,100,PROTO_WEST_KHOE,"x""on",,
HOAN-100-1,http://asjp.clld.org/languages/HOAN,100,HOAN,!o,,
JUHOAN-100-1,http://asjp.clld.org/languages/JUHOAN,100,JUHOAN,!u,,
KAUEN-100-1,http://asjp.clld.org/languages/KAUEN,100,KAUEN,!ku,,
KUNG-100-1,http://asjp.clld.org/languages/KUNG,100,KUNG,!ku,,
KUNG_EKOKA-100-1,http://asjp.clld.org/languages/KUNG_EKOKA,100,KUNG_EKOKA,!u,,
O_KUNG-100-1,http://asjp.clld.org/languages/O_KUNG,100,O_KUNG,!ku,,
OUNG-100-1,http://asjp.clld.org/languages/OUNG,100,OUNG,!k~u,,
PROTO_NORTHERN_KHOISAN-100-1,http://asjp.clld.org/languages/PROTO_NORTHERN_KHOISAN,100,PROTO_NORTHERN_KHOISAN,!u,,
SANDAWE-100-1,http://asjp.clld.org/languages/SANDAWE,100,SANDAWE,!w~a,,
KAM_KA_KE-100-1,http://asjp.clld.org/languages/KAM_KA_KE,100,KAM_KA_KE,!ke*,,
MASARWA_KAKIA-100-1,http://asjp.clld.org/languages/MASARWA_KAKIA,100,MASARWA_KAKIA,"!k""a*u*",,
NG_KE-100-1,http://asjp.clld.org/languages/NG_KE,100,NG_KE,!ke*,,
NU-100-1,http://asjp.clld.org/languages/NU,100,NU,ka!3e,,
NU_EN-100-1,http://asjp.clld.org/languages/NU_EN,100,NU_EN,!ka*,,
XOON-100-1,http://asjp.clld.org/languages/XOON,100,XOON,!au*,,
XOON_MASARWA-100-1,http://asjp.clld.org/languages/XOON_MASARWA,100,XOON_MASARWA,"!""a*u*",,
XOON_NUEN-100-1,http://asjp.clld.org/languages/XOON_NUEN,100,XOON_NUEN,!a*,,
BALI_NIGERIA-100-1,http://asjp.clld.org/languages/BALI_NIGERIA,100,BALI_NIGERIA,lim,,
BESME-100-1,http://asjp.clld.org/languages/BESME,100,BESME,di*,,
BON_GULA-100-1,http://asjp.clld.org/languages/BON_GULA,100,BON_GULA,li,,
BUA-100-1,http://asjp.clld.org/languages/BUA,100,BUA,mulili,,
DAY-100-1,http://asjp.clld.org/languages/DAY,100,DAY,Zo,,
DOOHWAAYAAYO-100-1,http://asjp.clld.org/languages/DOOHWAAYAAYO,100,DOOHWAAYAAYO,nuN,,
DOOHWAAYAAYO-100-2,http://asjp.clld.org/languages/DOOHWAAYAAYO,100,DOOHWAAYAAYO,nuNgo,,
FALI-100-1,http://asjp.clld.org/languages/FALI,100,FALI,ni*ri,,
GALKE-100-1,http://asjp.clld.org/languages/GALKE,100,GALKE,rin,,
GOUNDO-100-1,http://asjp.clld.org/languages/GOUNDO,100,GOUNDO,yEmi,,
