ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-38-1,http://asjp.clld.org/languages/SWAHILI,38,SWAHILI,Cwa,,
ZULU-38-1,http://asjp.clld.org/languages/ZULU,38,ZULU,kh~and~a,,
BENG-38-1,http://asjp.clld.org/languages/BENG,38,BENG,Nlu,,
BAMBARA-38-1,http://asjp.clld.org/languages/BAMBARA,38,BAMBARA,kunkolo,,
TURKANA-38-1,http://asjp.clld.org/languages/TURKANA,38,TURKANA,kou,,
KANURI-38-1,http://asjp.clld.org/languages/KANURI,38,KANURI,k3la,,
SOMALI-38-1,http://asjp.clld.org/languages/SOMALI,38,SOMALI,madaX,,
W_OROMO-38-1,http://asjp.clld.org/languages/W_OROMO,38,W_OROMO,mata,,
MOCHA-38-1,http://asjp.clld.org/languages/MOCHA,38,MOCHA,qalo,,
AMHARIC-38-1,http://asjp.clld.org/languages/AMHARIC,38,AMHARIC,wana,,
TIGRE-38-1,http://asjp.clld.org/languages/TIGRE,38,TIGRE,r7~as,,
IRAQW-38-1,http://asjp.clld.org/languages/IRAQW,38,IRAQW,saga,,
HAUSA-38-1,http://asjp.clld.org/languages/HAUSA,38,HAUSA,kai,,
NGIZIM-38-1,http://asjp.clld.org/languages/NGIZIM,38,NGIZIM,"ad""a",,
BASQUE-38-1,http://asjp.clld.org/languages/BASQUE,38,BASQUE,buru,,
BASQUE-38-2,http://asjp.clld.org/languages/BASQUE,38,BASQUE,kasko,,
LATVIAN-38-1,http://asjp.clld.org/languages/LATVIAN,38,LATVIAN,galva,,
LITHUANIAN-38-1,http://asjp.clld.org/languages/LITHUANIAN,38,LITHUANIAN,galva,,
ENGLISH-38-1,http://asjp.clld.org/languages/ENGLISH,38,ENGLISH,hed,,
HINDI-38-1,http://asjp.clld.org/languages/HINDI,38,HINDI,sar,,
NEPALI-38-1,http://asjp.clld.org/languages/NEPALI,38,NEPALI,kapal,,
NEPALI-38-2,http://asjp.clld.org/languages/NEPALI,38,NEPALI,tauko,,
PERSIAN-38-1,http://asjp.clld.org/languages/PERSIAN,38,PERSIAN,sar,,
FRENCH-38-1,http://asjp.clld.org/languages/FRENCH,38,FRENCH,t3t,,
SPANISH-38-1,http://asjp.clld.org/languages/SPANISH,38,SPANISH,kabesa,,
RUSSIAN-38-1,http://asjp.clld.org/languages/RUSSIAN,38,RUSSIAN,g3lova,,
SERBOCROATIAN-38-1,http://asjp.clld.org/languages/SERBOCROATIAN,38,SERBOCROATIAN,glava,,
ESTONIAN-38-1,http://asjp.clld.org/languages/ESTONIAN,38,ESTONIAN,pea,,
FINNISH-38-1,http://asjp.clld.org/languages/FINNISH,38,FINNISH,pEE,,
HUNGARIAN-38-1,http://asjp.clld.org/languages/HUNGARIAN,38,HUNGARIAN,fej,,
EWENKI_1-38-1,http://asjp.clld.org/languages/EWENKI_1,38,EWENKI_1,dili,,
TURKISH-38-1,http://asjp.clld.org/languages/TURKISH,38,TURKISH,baS,,
TURKISH-38-2,http://asjp.clld.org/languages/TURKISH,38,TURKISH,kafa,,
ALUTOR-38-1,http://asjp.clld.org/languages/ALUTOR,38,ALUTOR,law3t,,
CHUKCHEE-38-1,http://asjp.clld.org/languages/CHUKCHEE,38,CHUKCHEE,Lew3t,,
KORYAK-38-1,http://asjp.clld.org/languages/KORYAK,38,KORYAK,lew3t,,
KORYAK-38-2,http://asjp.clld.org/languages/KORYAK,38,KORYAK,k3Cwiy,,
N_ITELMEN-38-1,http://asjp.clld.org/languages/N_ITELMEN,38,N_ITELMEN,k3mtqol,,
N_ITELMEN-38-2,http://asjp.clld.org/languages/N_ITELMEN,38,N_ITELMEN,"k""3mtqol",,
S_ITELMEN-38-1,http://asjp.clld.org/languages/S_ITELMEN,38,S_ITELMEN,ktx3N,,
S_ITELMEN-38-2,http://asjp.clld.org/languages/S_ITELMEN,38,S_ITELMEN,Caqol,,
JAPANESE-38-1,http://asjp.clld.org/languages/JAPANESE,38,JAPANESE,atama,,
JAPANESE-38-2,http://asjp.clld.org/languages/JAPANESE,38,JAPANESE,zuno,,
KOREAN-38-1,http://asjp.clld.org/languages/KOREAN,38,KOREAN,mori,,
TELUGU-38-1,http://asjp.clld.org/languages/TELUGU,38,TELUGU,tala,,
KANNADA-38-1,http://asjp.clld.org/languages/KANNADA,38,KANNADA,tale,,
KANNADA-38-2,http://asjp.clld.org/languages/KANNADA,38,KANNADA,monde,,
TAMIL-38-1,http://asjp.clld.org/languages/TAMIL,38,TAMIL,talai,,
LAHU-38-1,http://asjp.clld.org/languages/LAHU,38,LAHU,iqu,,
CANTONESE-38-1,http://asjp.clld.org/languages/CANTONESE,38,CANTONESE,tauh hok,,
MANDARIN-38-1,http://asjp.clld.org/languages/MANDARIN,38,MANDARIN,tour,,
TARAON-38-1,http://asjp.clld.org/languages/TARAON,38,TARAON,kuru pom,,
NUNG-38-1,http://asjp.clld.org/languages/NUNG,38,NUNG,th~u,,
SEMAI-38-1,http://asjp.clld.org/languages/SEMAI,38,SEMAI,kuy,,
BAHNAR-38-1,http://asjp.clld.org/languages/BAHNAR,38,BAHNAR,k3l,,
CHRAU-38-1,http://asjp.clld.org/languages/CHRAU,38,CHRAU,vo7,,
CHRAU-38-2,http://asjp.clld.org/languages/CHRAU,38,CHRAU,kamvo7,,
JEH-38-1,http://asjp.clld.org/languages/JEH,38,JEH,kal,,
SEDANG-38-1,http://asjp.clld.org/languages/SEDANG,38,SEDANG,ko,,
KUI_THAILAND-38-1,http://asjp.clld.org/languages/KUI_THAILAND,38,KUI_THAILAND,pla,,
KHASI-38-1,http://asjp.clld.org/languages/KHASI,38,KHASI,kh~lih,,
KHMER-38-1,http://asjp.clld.org/languages/KHMER,38,KHMER,k3pal,,
MON-38-1,http://asjp.clld.org/languages/MON,38,MON,kaduip,,
NYAKUR-38-1,http://asjp.clld.org/languages/NYAKUR,38,NYAKUR,k3d3p,,
MUNDARI-38-1,http://asjp.clld.org/languages/MUNDARI,38,MUNDARI,bo7,,
DEANG-38-1,http://asjp.clld.org/languages/DEANG,38,DEANG,kiN,,
KHMU-38-1,http://asjp.clld.org/languages/KHMU,38,KHMU,k3mpoN,,
KSINMUL-38-1,http://asjp.clld.org/languages/KSINMUL,38,KSINMUL,3lu,,
WA-38-1,http://asjp.clld.org/languages/WA,38,WA,kaiN,,
RUC-38-1,http://asjp.clld.org/languages/RUC,38,RUC,kuluok,,
VIETNAMESE-38-1,http://asjp.clld.org/languages/VIETNAMESE,38,VIETNAMESE,dau,,
SEDIQ-38-1,http://asjp.clld.org/languages/SEDIQ,38,SEDIQ,tunuh,,
SEDIQ-38-2,http://asjp.clld.org/languages/SEDIQ,38,SEDIQ,tunuC,,
BALI-38-1,http://asjp.clld.org/languages/BALI,38,BALI,tendas,,
BALI-38-2,http://asjp.clld.org/languages/BALI,38,BALI,t3ndas,,
GAURA_NGGAURA-38-1,http://asjp.clld.org/languages/GAURA_NGGAURA,38,GAURA_NGGAURA,katoku,,
SIKA-38-1,http://asjp.clld.org/languages/SIKA,38,SIKA,ala,,
SIKA-38-2,http://asjp.clld.org/languages/SIKA,38,SIKA,alaN,,
SOBOYO-38-1,http://asjp.clld.org/languages/SOBOYO,38,SOBOYO,ulu,,
SOBOYO-38-2,http://asjp.clld.org/languages/SOBOYO,38,SOBOYO,ntalaN,,
YAMDENA-38-1,http://asjp.clld.org/languages/YAMDENA,38,YAMDENA,ulu,,
CHAMORRO-38-1,http://asjp.clld.org/languages/CHAMORRO,38,CHAMORRO,kabesa,,
CHAMORRO-38-2,http://asjp.clld.org/languages/CHAMORRO,38,CHAMORRO,amu,,
CHAM_EASTERN-38-1,http://asjp.clld.org/languages/CHAM_EASTERN,38,CHAM_EASTERN,akauk,,
CHAM_EASTERN-38-2,http://asjp.clld.org/languages/CHAM_EASTERN,38,CHAM_EASTERN,kauk,,
INDONESIAN-38-1,http://asjp.clld.org/languages/INDONESIAN,38,INDONESIAN,kepala,,
HANUNOO-38-1,http://asjp.clld.org/languages/HANUNOO,38,HANUNOO,ulu,,
TAGALOG-38-1,http://asjp.clld.org/languages/TAGALOG,38,TAGALOG,ulo,,
IMOROD-38-1,http://asjp.clld.org/languages/IMOROD,38,IMOROD,oho,,
KAPAMPANGAN-38-1,http://asjp.clld.org/languages/KAPAMPANGAN,38,KAPAMPANGAN,buntuk,,
BANONI-38-1,http://asjp.clld.org/languages/BANONI,38,BANONI,tope,,
CAROLINIAN-38-1,http://asjp.clld.org/languages/CAROLINIAN,38,CAROLINIAN,moxur,,
CAROLINIAN-38-2,http://asjp.clld.org/languages/CAROLINIAN,38,CAROLINIAN,3li,,
FIJIAN-38-1,http://asjp.clld.org/languages/FIJIAN,38,FIJIAN,ulu,,
FIJIAN_2-38-1,http://asjp.clld.org/languages/FIJIAN_2,38,FIJIAN_2,ulu,,
FUTUNA_EAST-38-1,http://asjp.clld.org/languages/FUTUNA_EAST,38,FUTUNA_EAST,fa7ulu,,
GAPAPAIWA-38-1,http://asjp.clld.org/languages/GAPAPAIWA,38,GAPAPAIWA,gh~ayami,,
HAWAIIAN-38-1,http://asjp.clld.org/languages/HAWAIIAN,38,HAWAIIAN,po7o,,
HAWAIIAN_3-38-1,http://asjp.clld.org/languages/HAWAIIAN_3,38,HAWAIIAN_3,po7o,,
KAIRIRU-38-1,http://asjp.clld.org/languages/KAIRIRU,38,KAIRIRU,qarai,,
KAIRIRU-38-2,http://asjp.clld.org/languages/KAIRIRU,38,KAIRIRU,ipwo5,,
KAIRIRU-38-3,http://asjp.clld.org/languages/KAIRIRU,38,KAIRIRU,same5,,
KAPINGAMARANGI-38-1,http://asjp.clld.org/languages/KAPINGAMARANGI,38,KAPINGAMARANGI,lipoko,,
KAULONG-38-1,http://asjp.clld.org/languages/KAULONG,38,KAULONG,mihi,,
KILIVILA-38-1,http://asjp.clld.org/languages/KILIVILA,38,KILIVILA,pw~aneta,,
KOKOTA-38-1,http://asjp.clld.org/languages/KOKOTA,38,KOKOTA,pau,,
KUSAIE-38-1,http://asjp.clld.org/languages/KUSAIE,38,KUSAIE,insife,,
KUSAIE-38-2,http://asjp.clld.org/languages/KUSAIE,38,KUSAIE,ulun,,
LOU-38-1,http://asjp.clld.org/languages/LOU,38,LOU,ara,,
MAORI-38-1,http://asjp.clld.org/languages/MAORI,38,MAORI,mahuNa,,
