ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
SWAHILI-63-1,http://asjp.clld.org/languages/SWAHILI,63,SWAHILI,ogelea,,
ZULU-63-1,http://asjp.clld.org/languages/ZULU,63,ZULU,Lamb~a,,
ZULU-63-2,http://asjp.clld.org/languages/ZULU,63,ZULU,bukuda,,
BENG-63-1,http://asjp.clld.org/languages/BENG,63,BENG,yi do*,,
KANURI-63-1,http://asjp.clld.org/languages/KANURI,63,KANURI,mb~a,,
KANURI-63-2,http://asjp.clld.org/languages/KANURI,63,KANURI,kamb~e,,
SOMALI-63-1,http://asjp.clld.org/languages/SOMALI,63,SOMALI,dabalo,,
W_OROMO-63-1,http://asjp.clld.org/languages/W_OROMO,63,W_OROMO,daka,,
MOCHA-63-1,http://asjp.clld.org/languages/MOCHA,63,MOCHA,wono,,
AMHARIC-63-1,http://asjp.clld.org/languages/AMHARIC,63,AMHARIC,wa53,,
TIGRE-63-1,http://asjp.clld.org/languages/TIGRE,63,TIGRE,Xamasa,,
TIGRE-63-2,http://asjp.clld.org/languages/TIGRE,63,TIGRE,Xamis,,
IRAQW-63-1,http://asjp.clld.org/languages/IRAQW,63,IRAQW,tumbim,,
HAUSA-63-1,http://asjp.clld.org/languages/HAUSA,63,HAUSA,yi iyo,,
HAUSA-63-2,http://asjp.clld.org/languages/HAUSA,63,HAUSA,"yi nink""aya",,
BASQUE-63-1,http://asjp.clld.org/languages/BASQUE,63,BASQUE,igerika,,
LATVIAN-63-1,http://asjp.clld.org/languages/LATVIAN,63,LATVIAN,pelde,,
LITHUANIAN-63-1,http://asjp.clld.org/languages/LITHUANIAN,63,LITHUANIAN,plaukio,,
ENGLISH-63-1,http://asjp.clld.org/languages/ENGLISH,63,ENGLISH,swim,,
HINDI-63-1,http://asjp.clld.org/languages/HINDI,63,HINDI,tair,,
NEPALI-63-1,http://asjp.clld.org/languages/NEPALI,63,NEPALI,paur,,
PERSIAN-63-1,http://asjp.clld.org/languages/PERSIAN,63,PERSIAN,Sen3 kard,,
FRENCH-63-1,http://asjp.clld.org/languages/FRENCH,63,FRENCH,naje,,
SPANISH-63-1,http://asjp.clld.org/languages/SPANISH,63,SPANISH,nada,,
RUSSIAN-63-1,http://asjp.clld.org/languages/RUSSIAN,63,RUSSIAN,plava,,
SERBOCROATIAN-63-1,http://asjp.clld.org/languages/SERBOCROATIAN,63,SERBOCROATIAN,pliva,,
ESTONIAN-63-1,http://asjp.clld.org/languages/ESTONIAN,63,ESTONIAN,uju,,
FINNISH-63-1,http://asjp.clld.org/languages/FINNISH,63,FINNISH,ui,,
HUNGARIAN-63-1,http://asjp.clld.org/languages/HUNGARIAN,63,HUNGARIAN,is,,
TURKISH-63-1,http://asjp.clld.org/languages/TURKISH,63,TURKISH,yiz,,
ALUTOR-63-1,http://asjp.clld.org/languages/ALUTOR,63,ALUTOR,al7~iqat3,,
CHUKCHEE-63-1,http://asjp.clld.org/languages/CHUKCHEE,63,CHUKCHEE,kaxtew3L7~at3,,
KORYAK-63-1,http://asjp.clld.org/languages/KORYAK,63,KORYAK,alX~iqat3,,
KORYAK-63-2,http://asjp.clld.org/languages/KORYAK,63,KORYAK,iwX~at3,,
N_ITELMEN-63-1,http://asjp.clld.org/languages/N_ITELMEN,63,N_ITELMEN,wi,,
N_ITELMEN-63-2,http://asjp.clld.org/languages/N_ITELMEN,63,N_ITELMEN,t3lzo,,
S_ITELMEN-63-1,http://asjp.clld.org/languages/S_ITELMEN,63,S_ITELMEN,pw~at,,
S_ITELMEN-63-2,http://asjp.clld.org/languages/S_ITELMEN,63,S_ITELMEN,pe,,
JAPANESE-63-1,http://asjp.clld.org/languages/JAPANESE,63,JAPANESE,oyogu,,
KOREAN-63-1,http://asjp.clld.org/languages/KOREAN,63,KOREAN,heom,,
TELUGU-63-1,http://asjp.clld.org/languages/TELUGU,63,TELUGU,idu,,
KANNADA-63-1,http://asjp.clld.org/languages/KANNADA,63,KANNADA,isu,,
KANNADA-63-2,http://asjp.clld.org/languages/KANNADA,63,KANNADA,niCalu,,
TAMIL-63-1,http://asjp.clld.org/languages/TAMIL,63,TAMIL,nintu,,
CANTONESE-63-1,http://asjp.clld.org/languages/CANTONESE,63,CANTONESE,yauh seui,,
MANDARIN-63-1,http://asjp.clld.org/languages/MANDARIN,63,MANDARIN,you yeoN,,
TARAON-63-1,http://asjp.clld.org/languages/TARAON,63,TARAON,kate,,
NUNG-63-1,http://asjp.clld.org/languages/NUNG,63,NUNG,viu,,
SEMAI-63-1,http://asjp.clld.org/languages/SEMAI,63,SEMAI,loy,,
