Grapheme	Frequency	Codepoint	UnicodeName
í	1	U+00ED	LATIN SMALL LETTER I WITH ACUTE
ì	1	U+00EC	LATIN SMALL LETTER I WITH GRAVE
ö	14	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
q	6	U+0071	LATIN SMALL LETTER Q
Q	4	U+0051	LATIN CAPITAL LETTER Q
