Grapheme	Frequency	Codepoint	UnicodeName
hS~	1	U+0068, U+0053, U+007E	LATIN SMALL LETTER H, LATIN CAPITAL LETTER S, TILDE
ht~	14	U+0068, U+0074, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER T, TILDE
hv~	4	U+0068, U+0076, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER V, TILDE
hw*~	1	U+0068, U+0077, U+002A, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER W, ASTERISK, TILDE
hw~	151	U+0068, U+0077, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER W, TILDE
hwy$	5	U+0068, U+0077, U+0079, U+0024	LATIN SMALL LETTER H, LATIN SMALL LETTER W, LATIN SMALL LETTER Y, DOLLAR SIGN
hx~	4	U+0068, U+0078, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER X, TILDE
hX~	1	U+0068, U+0058, U+007E	LATIN SMALL LETTER H, LATIN CAPITAL LETTER X, TILDE
hy~	104	U+0068, U+0079, U+007E	LATIN SMALL LETTER H, LATIN SMALL LETTER Y, TILDE
i	112720	U+0069	LATIN SMALL LETTER I
i*	2160	U+0069, U+002A	LATIN SMALL LETTER I, ASTERISK
i*7~	1	U+0069, U+002A, U+0037, U+007E	LATIN SMALL LETTER I, ASTERISK, DIGIT SEVEN, TILDE
i*dy$	1	U+0069, U+002A, U+0064, U+0079, U+0024	LATIN SMALL LETTER I, ASTERISK, LATIN SMALL LETTER D, LATIN SMALL LETTER Y, DOLLAR SIGN
ih~	11	U+0069, U+0068, U+007E	LATIN SMALL LETTER I, LATIN SMALL LETTER H, TILDE
ik~	2	U+0069, U+006B, U+007E	LATIN SMALL LETTER I, LATIN SMALL LETTER K, TILDE
iv~	1	U+0069, U+0076, U+007E	LATIN SMALL LETTER I, LATIN SMALL LETTER V, TILDE
j	4275	U+006A	LATIN SMALL LETTER J
j"	7	U+006A, U+0022	LATIN SMALL LETTER J, QUOTATION MARK
j7~	1	U+006A, U+0037, U+007E	LATIN SMALL LETTER J, DIGIT SEVEN, TILDE
jh~	4	U+006A, U+0068, U+007E	LATIN SMALL LETTER J, LATIN SMALL LETTER H, TILDE
jhy$	1	U+006A, U+0068, U+0079, U+0024	LATIN SMALL LETTER J, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
jv~	1	U+006A, U+0076, U+007E	LATIN SMALL LETTER J, LATIN SMALL LETTER V, TILDE
jw~	26	U+006A, U+0077, U+007E	LATIN SMALL LETTER J, LATIN SMALL LETTER W, TILDE
jX~	1	U+006A, U+0058, U+007E	LATIN SMALL LETTER J, LATIN CAPITAL LETTER X, TILDE
jy~	9	U+006A, U+0079, U+007E	LATIN SMALL LETTER J, LATIN SMALL LETTER Y, TILDE
jZ~	2	U+006A, U+005A, U+007E	LATIN SMALL LETTER J, LATIN CAPITAL LETTER Z, TILDE
k	50159	U+006B	LATIN SMALL LETTER K
k"	1971	U+006B, U+0022	LATIN SMALL LETTER K, QUOTATION MARK
k"7~	1	U+006B, U+0022, U+0037, U+007E	LATIN SMALL LETTER K, QUOTATION MARK, DIGIT SEVEN, TILDE
k"v~	2	U+006B, U+0022, U+0076, U+007E	LATIN SMALL LETTER K, QUOTATION MARK, LATIN SMALL LETTER V, TILDE
k"w~	181	U+006B, U+0022, U+0077, U+007E	LATIN SMALL LETTER K, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
k"y~	43	U+006B, U+0022, U+0079, U+007E	LATIN SMALL LETTER K, QUOTATION MARK, LATIN SMALL LETTER Y, TILDE
k7~	21	U+006B, U+0037, U+007E	LATIN SMALL LETTER K, DIGIT SEVEN, TILDE
k7y$	1	U+006B, U+0037, U+0079, U+0024	LATIN SMALL LETTER K, DIGIT SEVEN, LATIN SMALL LETTER Y, DOLLAR SIGN
kf~	5	U+006B, U+0066, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER F, TILDE
kh~	2016	U+006B, U+0068, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER H, TILDE
khr$	1	U+006B, U+0068, U+0072, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER H, LATIN SMALL LETTER R, DOLLAR SIGN
khv$	3	U+006B, U+0068, U+0076, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER H, LATIN SMALL LETTER V, DOLLAR SIGN
khw$	86	U+006B, U+0068, U+0077, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
khx$	2	U+006B, U+0068, U+0078, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER H, LATIN SMALL LETTER X, DOLLAR SIGN
khy$	40	U+006B, U+0068, U+0079, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
kj~	3	U+006B, U+006A, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER J, TILDE
kl~	19	U+006B, U+006C, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER L, TILDE
kn~	7	U+006B, U+006E, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER N, TILDE
kN~	13	U+006B, U+004E, U+007E	LATIN SMALL LETTER K, LATIN CAPITAL LETTER N, TILDE
kp~	493	U+006B, U+0070, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER P, TILDE
kpn$	1	U+006B, U+0070, U+006E, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER P, LATIN SMALL LETTER N, DOLLAR SIGN
kpw$	33	U+006B, U+0070, U+0077, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER P, LATIN SMALL LETTER W, DOLLAR SIGN
kpy$	1	U+006B, U+0070, U+0079, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER P, LATIN SMALL LETTER Y, DOLLAR SIGN
ks~	2	U+006B, U+0073, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER S, TILDE
kS~	1	U+006B, U+0053, U+007E	LATIN SMALL LETTER K, LATIN CAPITAL LETTER S, TILDE
kv~	6	U+006B, U+0076, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER V, TILDE
kw~	1999	U+006B, U+0077, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER W, TILDE
kw7$	4	U+006B, U+0077, U+0037, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER W, DIGIT SEVEN, DOLLAR SIGN
kwh$	3	U+006B, U+0077, U+0068, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER W, LATIN SMALL LETTER H, DOLLAR SIGN
kws$	1	U+006B, U+0077, U+0073, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER W, LATIN SMALL LETTER S, DOLLAR SIGN
kwy$	1	U+006B, U+0077, U+0079, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER W, LATIN SMALL LETTER Y, DOLLAR SIGN
kx"~	7	U+006B, U+0078, U+0022, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER X, QUOTATION MARK, TILDE
kx~	25	U+006B, U+0078, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER X, TILDE
kX~	5	U+006B, U+0058, U+007E	LATIN SMALL LETTER K, LATIN CAPITAL LETTER X, TILDE
kx7$	7	U+006B, U+0078, U+0037, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER X, DIGIT SEVEN, DOLLAR SIGN
kxw$	2	U+006B, U+0078, U+0077, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER X, LATIN SMALL LETTER W, DOLLAR SIGN
ky~	463	U+006B, U+0079, U+007E	LATIN SMALL LETTER K, LATIN SMALL LETTER Y, TILDE
kyw$	3	U+006B, U+0079, U+0077, U+0024	LATIN SMALL LETTER K, LATIN SMALL LETTER Y, LATIN SMALL LETTER W, DOLLAR SIGN
l	39570	U+006C	LATIN SMALL LETTER L
L	3211	U+004C	LATIN CAPITAL LETTER L
l"	88	U+006C, U+0022	LATIN SMALL LETTER L, QUOTATION MARK
L"	200	U+004C, U+0022	LATIN CAPITAL LETTER L, QUOTATION MARK
l7~	38	U+006C, U+0037, U+007E	LATIN SMALL LETTER L, DIGIT SEVEN, TILDE
L7~	7	U+004C, U+0037, U+007E	LATIN CAPITAL LETTER L, DIGIT SEVEN, TILDE
ldy$	1	U+006C, U+0064, U+0079, U+0024	LATIN SMALL LETTER L, LATIN SMALL LETTER D, LATIN SMALL LETTER Y, DOLLAR SIGN
lh~	39	U+006C, U+0068, U+007E	LATIN SMALL LETTER L, LATIN SMALL LETTER H, TILDE
Lh~	2	U+004C, U+0068, U+007E	LATIN CAPITAL LETTER L, LATIN SMALL LETTER H, TILDE
lm~	1	U+006C, U+006D, U+007E	LATIN SMALL LETTER L, LATIN SMALL LETTER M, TILDE
lv~	5	U+006C, U+0076, U+007E	LATIN SMALL LETTER L, LATIN SMALL LETTER V, TILDE
lw~	59	U+006C, U+0077, U+007E	LATIN SMALL LETTER L, LATIN SMALL LETTER W, TILDE
Lw~	2	U+004C, U+0077, U+007E	LATIN CAPITAL LETTER L, LATIN SMALL LETTER W, TILDE
lx~	7	U+006C, U+0078, U+007E	LATIN SMALL LETTER L, LATIN SMALL LETTER X, TILDE
lX~	18	U+006C, U+0058, U+007E	LATIN SMALL LETTER L, LATIN CAPITAL LETTER X, TILDE
LX~	3	U+004C, U+0058, U+007E	LATIN CAPITAL LETTER L, LATIN CAPITAL LETTER X, TILDE
ly~	315	U+006C, U+0079, U+007E	LATIN SMALL LETTER L, LATIN SMALL LETTER Y, TILDE
Ly~	8	U+004C, U+0079, U+007E	LATIN CAPITAL LETTER L, LATIN SMALL LETTER Y, TILDE
ly7$	1	U+006C, U+0079, U+0037, U+0024	LATIN SMALL LETTER L, LATIN SMALL LETTER Y, DIGIT SEVEN, DOLLAR SIGN
lyX$	1	U+006C, U+0079, U+0058, U+0024	LATIN SMALL LETTER L, LATIN SMALL LETTER Y, LATIN CAPITAL LETTER X, DOLLAR SIGN
m	49980	U+006D	LATIN SMALL LETTER M
m!~	1	U+006D, U+0021, U+007E	LATIN SMALL LETTER M, EXCLAMATION MARK, TILDE
m"	101	U+006D, U+0022	LATIN SMALL LETTER M, QUOTATION MARK
m*	2	U+006D, U+002A	LATIN SMALL LETTER M, ASTERISK
m7~	32	U+006D, U+0037, U+007E	LATIN SMALL LETTER M, DIGIT SEVEN, TILDE
mb~	1677	U+006D, U+0062, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER B, TILDE
mbh$	3	U+006D, U+0062, U+0068, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER B, LATIN SMALL LETTER H, DOLLAR SIGN
mbl$	3	U+006D, U+0062, U+006C, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER B, LATIN SMALL LETTER L, DOLLAR SIGN
mbr$	2	U+006D, U+0062, U+0072, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER B, LATIN SMALL LETTER R, DOLLAR SIGN
mbv$	1	U+006D, U+0062, U+0076, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER B, LATIN SMALL LETTER V, DOLLAR SIGN
mbw$	93	U+006D, U+0062, U+0077, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER B, LATIN SMALL LETTER W, DOLLAR SIGN
mbx$	3	U+006D, U+0062, U+0078, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER B, LATIN SMALL LETTER X, DOLLAR SIGN
mby$	10	U+006D, U+0062, U+0079, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER B, LATIN SMALL LETTER Y, DOLLAR SIGN
md~	3	U+006D, U+0064, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER D, TILDE
mf~	21	U+006D, U+0066, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER F, TILDE
mfw$	5	U+006D, U+0066, U+0077, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER F, LATIN SMALL LETTER W, DOLLAR SIGN
mgb$	61	U+006D, U+0067, U+0062, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER G, LATIN SMALL LETTER B, DOLLAR SIGN
mh~	49	U+006D, U+0068, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER H, TILDE
mhy$	2	U+006D, U+0068, U+0079, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
mj~	1	U+006D, U+006A, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER J, TILDE
mk~	1	U+006D, U+006B, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER K, TILDE
mkp$	8	U+006D, U+006B, U+0070, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER K, LATIN SMALL LETTER P, DOLLAR SIGN
ml~	7	U+006D, U+006C, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER L, TILDE
mm~	2	U+006D, U+006D, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER M, TILDE
mN~	1	U+006D, U+004E, U+007E	LATIN SMALL LETTER M, LATIN CAPITAL LETTER N, TILDE
mp~	274	U+006D, U+0070, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER P, TILDE
mpf$	4	U+006D, U+0070, U+0066, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER P, LATIN SMALL LETTER F, DOLLAR SIGN
mph$	11	U+006D, U+0070, U+0068, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER P, LATIN SMALL LETTER H, DOLLAR SIGN
mpl$	3	U+006D, U+0070, U+006C, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER P, LATIN SMALL LETTER L, DOLLAR SIGN
mpw$	4	U+006D, U+0070, U+0077, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER P, LATIN SMALL LETTER W, DOLLAR SIGN
mpy$	24	U+006D, U+0070, U+0079, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER P, LATIN SMALL LETTER Y, DOLLAR SIGN
mqh$	1	U+006D, U+0071, U+0068, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER Q, LATIN SMALL LETTER H, DOLLAR SIGN
mr~	2	U+006D, U+0072, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER R, TILDE
ms~	3	U+006D, U+0073, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER S, TILDE
mSk$	1	U+006D, U+0053, U+006B, U+0024	LATIN SMALL LETTER M, LATIN CAPITAL LETTER S, LATIN SMALL LETTER K, DOLLAR SIGN
mt~	6	U+006D, U+0074, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER T, TILDE
mv~	63	U+006D, U+0076, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER V, TILDE
mvw$	6	U+006D, U+0076, U+0077, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER V, LATIN SMALL LETTER W, DOLLAR SIGN
mw~	398	U+006D, U+0077, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER W, TILDE
mwh$	1	U+006D, U+0077, U+0068, U+0024	LATIN SMALL LETTER M, LATIN SMALL LETTER W, LATIN SMALL LETTER H, DOLLAR SIGN
mx~	6	U+006D, U+0078, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER X, TILDE
mX~	11	U+006D, U+0058, U+007E	LATIN SMALL LETTER M, LATIN CAPITAL LETTER X, TILDE
my~	203	U+006D, U+0079, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER Y, TILDE
mz~	3	U+006D, U+007A, U+007E	LATIN SMALL LETTER M, LATIN SMALL LETTER Z, TILDE
mZ~	3	U+006D, U+005A, U+007E	LATIN SMALL LETTER M, LATIN CAPITAL LETTER Z, TILDE
n	67468	U+006E	LATIN SMALL LETTER N
N	21307	U+004E	LATIN CAPITAL LETTER N
n!~	39	U+006E, U+0021, U+007E	LATIN SMALL LETTER N, EXCLAMATION MARK, TILDE
N!~	11	U+004E, U+0021, U+007E	LATIN CAPITAL LETTER N, EXCLAMATION MARK, TILDE
n!w$	1	U+006E, U+0021, U+0077, U+0024	LATIN SMALL LETTER N, EXCLAMATION MARK, LATIN SMALL LETTER W, DOLLAR SIGN
n"	111	U+006E, U+0022	LATIN SMALL LETTER N, QUOTATION MARK
N"	14	U+004E, U+0022	LATIN CAPITAL LETTER N, QUOTATION MARK
n5~	11	U+006E, U+0035, U+007E	LATIN SMALL LETTER N, DIGIT FIVE, TILDE
n5w$	1	U+006E, U+0035, U+0077, U+0024	LATIN SMALL LETTER N, DIGIT FIVE, LATIN SMALL LETTER W, DOLLAR SIGN
n7~	24	U+006E, U+0037, U+007E	LATIN SMALL LETTER N, DIGIT SEVEN, TILDE
N7~	16	U+004E, U+0037, U+007E	LATIN CAPITAL LETTER N, DIGIT SEVEN, TILDE
n8~	26	U+006E, U+0038, U+007E	LATIN SMALL LETTER N, DIGIT EIGHT, TILDE
nb~	19	U+006E, U+0062, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER B, TILDE
Nb~	4	U+004E, U+0062, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER B, TILDE
nbl$	3	U+006E, U+0062, U+006C, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER B, LATIN SMALL LETTER L, DOLLAR SIGN
nbr$	1	U+006E, U+0062, U+0072, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER B, LATIN SMALL LETTER R, DOLLAR SIGN
nc"~	2	U+006E, U+0063, U+0022, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER C, QUOTATION MARK, TILDE
nC"~	1	U+006E, U+0043, U+0022, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER C, QUOTATION MARK, TILDE
nc~	148	U+006E, U+0063, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER C, TILDE
nC~	77	U+006E, U+0043, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER C, TILDE
NC~	1	U+004E, U+0043, U+007E	LATIN CAPITAL LETTER N, LATIN CAPITAL LETTER C, TILDE
nch$	6	U+006E, U+0063, U+0068, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER C, LATIN SMALL LETTER H, DOLLAR SIGN
nCh$	9	U+006E, U+0043, U+0068, U+0024	LATIN SMALL LETTER N, LATIN CAPITAL LETTER C, LATIN SMALL LETTER H, DOLLAR SIGN
ncw$	3	U+006E, U+0063, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER C, LATIN SMALL LETTER W, DOLLAR SIGN
nCw$	3	U+006E, U+0043, U+0077, U+0024	LATIN SMALL LETTER N, LATIN CAPITAL LETTER C, LATIN SMALL LETTER W, DOLLAR SIGN
ncy$	2	U+006E, U+0063, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER C, LATIN SMALL LETTER Y, DOLLAR SIGN
nCy$	2	U+006E, U+0043, U+0079, U+0024	LATIN SMALL LETTER N, LATIN CAPITAL LETTER C, LATIN SMALL LETTER Y, DOLLAR SIGN
nd~	1946	U+006E, U+0064, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER D, TILDE
Nd~	3	U+004E, U+0064, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER D, TILDE
nd7$	1	U+006E, U+0064, U+0037, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, DIGIT SEVEN, DOLLAR SIGN
ndg$	1	U+006E, U+0064, U+0067, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER G, DOLLAR SIGN
ndh$	3	U+006E, U+0064, U+0068, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER H, DOLLAR SIGN
ndj$	3	U+006E, U+0064, U+006A, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER J, DOLLAR SIGN
ndl$	2	U+006E, U+0064, U+006C, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER L, DOLLAR SIGN
ndL$	10	U+006E, U+0064, U+004C, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN CAPITAL LETTER L, DOLLAR SIGN
ndr$	133	U+006E, U+0064, U+0072, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER R, DOLLAR SIGN
ndv$	2	U+006E, U+0064, U+0076, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER V, DOLLAR SIGN
ndw$	11	U+006E, U+0064, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER W, DOLLAR SIGN
ndy$	34	U+006E, U+0064, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN SMALL LETTER Y, DOLLAR SIGN
ndZ$	1	U+006E, U+0064, U+005A, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER D, LATIN CAPITAL LETTER Z, DOLLAR SIGN
nf~	5	U+006E, U+0066, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER F, TILDE
nfw$	1	U+006E, U+0066, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER F, LATIN SMALL LETTER W, DOLLAR SIGN
nfy$	1	U+006E, U+0066, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER F, LATIN SMALL LETTER Y, DOLLAR SIGN
ng~	274	U+006E, U+0067, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER G, TILDE
Ng~	1055	U+004E, U+0067, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER G, TILDE
NG~	4	U+004E, U+0047, U+007E	LATIN CAPITAL LETTER N, LATIN CAPITAL LETTER G, TILDE
ngb$	10	U+006E, U+0067, U+0062, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER B, DOLLAR SIGN
Ngb$	12	U+004E, U+0067, U+0062, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER B, DOLLAR SIGN
Ngw*$	1	U+004E, U+0067, U+0077, U+002A, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER W, ASTERISK, DOLLAR SIGN
ngw$	14	U+006E, U+0067, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER W, DOLLAR SIGN
Ngw$	92	U+004E, U+0067, U+0077, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER W, DOLLAR SIGN
Ngx$	1	U+004E, U+0067, U+0078, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER X, DOLLAR SIGN
ngy$	1	U+006E, U+0067, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER Y, DOLLAR SIGN
Ngy$	25	U+004E, U+0067, U+0079, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER G, LATIN SMALL LETTER Y, DOLLAR SIGN
nh~	89	U+006E, U+0068, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER H, TILDE
Nh~	27	U+004E, U+0068, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER H, TILDE
nh7$	1	U+006E, U+0068, U+0037, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER H, DIGIT SEVEN, DOLLAR SIGN
nhw$	4	U+006E, U+0068, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
Nhw$	1	U+004E, U+0068, U+0077, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
nhy$	1	U+006E, U+0068, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
nj~	222	U+006E, U+006A, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER J, TILDE
njr$	4	U+006E, U+006A, U+0072, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER J, LATIN SMALL LETTER R, DOLLAR SIGN
njw$	6	U+006E, U+006A, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER J, LATIN SMALL LETTER W, DOLLAR SIGN
njy$	1	U+006E, U+006A, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER J, LATIN SMALL LETTER Y, DOLLAR SIGN
njZ$	1	U+006E, U+006A, U+005A, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER J, LATIN CAPITAL LETTER Z, DOLLAR SIGN
nk"~	4	U+006E, U+006B, U+0022, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER K, QUOTATION MARK, TILDE
Nk"~	2	U+004E, U+006B, U+0022, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER K, QUOTATION MARK, TILDE
nk~	89	U+006E, U+006B, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER K, TILDE
Nk~	266	U+004E, U+006B, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER K, TILDE
nkh$	1	U+006E, U+006B, U+0068, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER H, DOLLAR SIGN
Nkh$	7	U+004E, U+006B, U+0068, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER H, DOLLAR SIGN
nkl$	1	U+006E, U+006B, U+006C, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER L, DOLLAR SIGN
Nkl$	1	U+004E, U+006B, U+006C, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER L, DOLLAR SIGN
nkp$	2	U+006E, U+006B, U+0070, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER P, DOLLAR SIGN
Nkp$	2	U+004E, U+006B, U+0070, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER P, DOLLAR SIGN
nkw"$	2	U+006E, U+006B, U+0077, U+0022, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER W, QUOTATION MARK, DOLLAR SIGN
nkw$	1	U+006E, U+006B, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER W, DOLLAR SIGN
Nkw$	14	U+004E, U+006B, U+0077, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER W, DOLLAR SIGN
nky$	6	U+006E, U+006B, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER Y, DOLLAR SIGN
Nky$	7	U+004E, U+006B, U+0079, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER K, LATIN SMALL LETTER Y, DOLLAR SIGN
nl~	3	U+006E, U+006C, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER L, TILDE
nL~	1	U+006E, U+004C, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER L, TILDE
nm~	1	U+006E, U+006D, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER M, TILDE
Nm~	12	U+004E, U+006D, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER M, TILDE
nN~	3	U+006E, U+004E, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER N, TILDE
Nn~	3	U+004E, U+006E, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER N, TILDE
