Grapheme	Frequency	Codepoint	UnicodeName
7nd$	1	U+0037, U+006E, U+0064, U+0024	DIGIT SEVEN, LATIN SMALL LETTER N, LATIN SMALL LETTER D, DOLLAR SIGN
7rh$	1	U+0037, U+0072, U+0068, U+0024	DIGIT SEVEN, LATIN SMALL LETTER R, LATIN SMALL LETTER H, DOLLAR SIGN
7S~	1	U+0037, U+0053, U+007E	DIGIT SEVEN, LATIN CAPITAL LETTER S, TILDE
7w~	23	U+0037, U+0077, U+007E	DIGIT SEVEN, LATIN SMALL LETTER W, TILDE
7x~	2	U+0037, U+0078, U+007E	DIGIT SEVEN, LATIN SMALL LETTER X, TILDE
7xT$	1	U+0037, U+0078, U+0054, U+0024	DIGIT SEVEN, LATIN SMALL LETTER X, LATIN CAPITAL LETTER T, DOLLAR SIGN
7y~	31	U+0037, U+0079, U+007E	DIGIT SEVEN, LATIN SMALL LETTER Y, TILDE
8	1497	U+0038	DIGIT EIGHT
8"	35	U+0038, U+0022	DIGIT EIGHT, QUOTATION MARK
87~	2	U+0038, U+0037, U+007E	DIGIT EIGHT, DIGIT SEVEN, TILDE
8h~	11	U+0038, U+0068, U+007E	DIGIT EIGHT, LATIN SMALL LETTER H, TILDE
8w~	4	U+0038, U+0077, U+007E	DIGIT EIGHT, LATIN SMALL LETTER W, TILDE
8X~	5	U+0038, U+0058, U+007E	DIGIT EIGHT, LATIN CAPITAL LETTER X, TILDE
8y~	8	U+0038, U+0079, U+007E	DIGIT EIGHT, LATIN SMALL LETTER Y, TILDE
a	173642	U+0061	LATIN SMALL LETTER A
a*	2847	U+0061, U+002A	LATIN SMALL LETTER A, ASTERISK
a*7~	2	U+0061, U+002A, U+0037, U+007E	LATIN SMALL LETTER A, ASTERISK, DIGIT SEVEN, TILDE
a*d~	1	U+0061, U+002A, U+0064, U+007E	LATIN SMALL LETTER A, ASTERISK, LATIN SMALL LETTER D, TILDE
a*g~	1	U+0061, U+002A, U+0067, U+007E	LATIN SMALL LETTER A, ASTERISK, LATIN SMALL LETTER G, TILDE
a5~	1	U+0061, U+0035, U+007E	LATIN SMALL LETTER A, DIGIT FIVE, TILDE
a7~	1	U+0061, U+0037, U+007E	LATIN SMALL LETTER A, DIGIT SEVEN, TILDE
ah~	3	U+0061, U+0068, U+007E	LATIN SMALL LETTER A, LATIN SMALL LETTER H, TILDE
aN~	2	U+0061, U+004E, U+007E	LATIN SMALL LETTER A, LATIN CAPITAL LETTER N, TILDE
aq~	1	U+0061, U+0071, U+007E	LATIN SMALL LETTER A, LATIN SMALL LETTER Q, TILDE
at~	1	U+0061, U+0074, U+007E	LATIN SMALL LETTER A, LATIN SMALL LETTER T, TILDE
aw~	11	U+0061, U+0077, U+007E	LATIN SMALL LETTER A, LATIN SMALL LETTER W, TILDE
ax~	2	U+0061, U+0078, U+007E	LATIN SMALL LETTER A, LATIN SMALL LETTER X, TILDE
b	25913	U+0062	LATIN SMALL LETTER B
b"	1083	U+0062, U+0022	LATIN SMALL LETTER B, QUOTATION MARK
b"w~	4	U+0062, U+0022, U+0077, U+007E	LATIN SMALL LETTER B, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
b"y~	3	U+0062, U+0022, U+0079, U+007E	LATIN SMALL LETTER B, QUOTATION MARK, LATIN SMALL LETTER Y, TILDE
b7~	4	U+0062, U+0037, U+007E	LATIN SMALL LETTER B, DIGIT SEVEN, TILDE
bg~	7	U+0062, U+0067, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER G, TILDE
bh~	91	U+0062, U+0068, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER H, TILDE
bhw$	2	U+0062, U+0068, U+0077, U+0024	LATIN SMALL LETTER B, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
bhy$	1	U+0062, U+0068, U+0079, U+0024	LATIN SMALL LETTER B, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
bl~	8	U+0062, U+006C, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER L, TILDE
bl7$	1	U+0062, U+006C, U+0037, U+0024	LATIN SMALL LETTER B, LATIN SMALL LETTER L, DIGIT SEVEN, DOLLAR SIGN
bm~	4	U+0062, U+006D, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER M, TILDE
bmw$	1	U+0062, U+006D, U+0077, U+0024	LATIN SMALL LETTER B, LATIN SMALL LETTER M, LATIN SMALL LETTER W, DOLLAR SIGN
bq~	1	U+0062, U+0071, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER Q, TILDE
bv~	34	U+0062, U+0076, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER V, TILDE
bvw$	2	U+0062, U+0076, U+0077, U+0024	LATIN SMALL LETTER B, LATIN SMALL LETTER V, LATIN SMALL LETTER W, DOLLAR SIGN
bw~	340	U+0062, U+0077, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER W, TILDE
bx~	4	U+0062, U+0078, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER X, TILDE
bX~	9	U+0062, U+0058, U+007E	LATIN SMALL LETTER B, LATIN CAPITAL LETTER X, TILDE
bxw$	1	U+0062, U+0078, U+0077, U+0024	LATIN SMALL LETTER B, LATIN SMALL LETTER X, LATIN SMALL LETTER W, DOLLAR SIGN
by~	108	U+0062, U+0079, U+007E	LATIN SMALL LETTER B, LATIN SMALL LETTER Y, TILDE
c	6185	U+0063	LATIN SMALL LETTER C
C	7594	U+0043	LATIN CAPITAL LETTER C
c"	1026	U+0063, U+0022	LATIN SMALL LETTER C, QUOTATION MARK
C"	789	U+0043, U+0022	LATIN CAPITAL LETTER C, QUOTATION MARK
