left	graphemes	right	class	codepoints	Unicode_names	IPA_names
	ɥ		1	U+0265	LATIN SMALL LETTER TURNED H	voiced labial-palatal approximant
	ɯ		1	U+026F	LATIN SMALL LETTER TURNED M	close back unrounded
	ɰ		1	U+0270	LATIN SMALL LETTER TURNED M WITH LONG LEG	voiced velar approximant
	ʊ		1	U+028A	LATIN SMALL LETTER UPSILON	lax close back rounded
	v		1	U+0076	LATIN SMALL LETTER V	voiced labiodental fricative
	ʋ		1	U+028B	LATIN SMALL LETTER V WITH HOOK	voiced labiodental approximant
	ⱱ		1	U+2C71	LATIN SMALL LETTER V WITH RIGHT HOOK	voiced labiodental tap
	ʌ		1	U+028C	LATIN SMALL LETTER TURNED V	open-mid back unrounded
	w		1	U+0077	LATIN SMALL LETTER W	voiced labial-velar approximant
	ʍ		1	U+028D	LATIN SMALL LETTER TURNED W	voiceless labial-velar fricative
	x		1	U+0078	LATIN SMALL LETTER X	voiceless velar fricative
	y		1	U+0079	LATIN SMALL LETTER Y	close front rounded
	ʏ		1	U+028F	LATIN LETTER SMALL CAPITAL Y	lax close front rounded
	z		1	U+007A	LATIN SMALL LETTER Z	voiced alveolar fricative
	ʐ		1	U+0290	LATIN SMALL LETTER Z WITH RETROFLEX HOOK	voiced retroflex fricative
	ʑ		1	U+0291	LATIN SMALL LETTER Z WITH CURL	voiced alveolo-palatal fricative
	ʒ		1	U+0292	LATIN SMALL LETTER EZH	voiced postalveolar fricative
	ʔ		1	U+0294	LATIN LETTER GLOTTAL STOP	voiceless glottal plosive
	ʕ		1	U+0295	LATIN LETTER PHARYNGEAL VOICED FRICATIVE	voiced pharyngeal fricative
	ʡ		1	U+02A1	LATIN LETTER GLOTTAL STOP WITH STROKE	epiglottal plosive
	ʢ		1	U+02A2	LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE	voiced epiglottal fricative
	ǀ		1	U+01C0	LATIN LETTER DENTAL CLICK	voiceless dental click
	ǁ		1	U+01C1	LATIN LETTER LATERAL CLICK	voiceless alveolar lateral click
	ǂ		1	U+01C2	LATIN LETTER ALVEOLAR CLICK	voiceless palatoalveolar click
	ǃ		1	U+01C3	LATIN LETTER RETROFLEX CLICK	voiceless (post)alveolar click
	ʘ		1	U+0298	LATIN LETTER BILABIAL CLICK	voiceless bilabial click
	β		1	U+03B2	GREEK SMALL LETTER BETA	voiced bilabial fricative
	θ		1	U+03B8	GREEK SMALL LETTER THETA	voiceless dental fricative
	χ		1	U+03C7	GREEK SMALL LETTER CHI	voiceless uvular fricative
⁂	̴		A	U+0334	COMBINING TILDE OVERLAY	velarized or pharyngealized
⁂	̼		B	U+033C	COMBINING SEAGULL BELOW	linguolabial
⁂	̪		B	U+032A	COMBINING BRIDGE BELOW	dental
⁂	̻		B	U+033B	COMBINING SQUARE BELOW	laminal
⁂	̺		B	U+033A	COMBINING INVERTED BRIDGE BELOW	apical
⁂	̟		C	U+031F	COMBINING PLUS SIGN BELOW	advanced
⁂	̠		C	U+0320	COMBINING MINUS SIGN BELOW	retracted
⁂	̝		D	U+031D	COMBINING UP TACK BELOW	raised
⁂	̞		D	U+031E	COMBINING DOWN TACK BELOW	lowered
⁂	̘		E	U+0318	COMBINING LEFT TACK BELOW	advanced tongue root
⁂	̙		E	U+0319	COMBINING RIGHT TACK BELOW	retracted tongue root
⁂	̜		F	U+031C	COMBINING LEFT HALF RING BELOW	less rounded
⁂	̹		F	U+0339	COMBINING RIGHT HALF RING BELOW	more rounded
⁂	̬		G	U+032C	COMBINING CARON BELOW	voiced
⁂	̥		G	U+0325	COMBINING RING BELOW	voiceless
⁂	̰		G	U+0330	COMBINING TILDE BELOW	creaky voiced
⁂	̤		G	U+0324	COMBINING DIAERESIS BELOW	breathy voiced
⁂	̩		H	U+0329	COMBINING VERTICAL LINE BELOW	syllabic
⁂	̯		H	U+032F	COMBINING INVERTED BREVE BELOW	non-syllabic
⁂	̃		I	U+0303	COMBINING TILDE	nasalized
⁂	̈		J	U+0308	COMBINING DIAERESIS	centralized
⁂	̽		J	U+033D	COMBINING X ABOVE	mid-centralized
⁂	̆		K	U+0306	COMBINING BREVE	extra-short
⁂	̚		L	U+031A	COMBINING LEFT ANGLE ABOVE	no audible release
⁂	˞		M	U+02DE	MODIFIER LETTER RHOTIC HOOK	rhotacized
⁂	ˡ		N	U+02E1	MODIFIER LETTER SMALL L	lateral release
⁂	ⁿ		N	U+207F	SUPERSCRIPT LATIN SMALL LETTER N	nasal release
⁂	ʷ		O	U+02B7	MODIFIER LETTER SMALL W	labialized
⁂	ʲ		P	U+02B2	MODIFIER LETTER SMALL J	palatalized
⁂	ˠ		Q	U+02E0	MODIFIER LETTER SMALL GAMMA	velarized
⁂	ˤ		R	U+02E4	MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	pharyngealized
⁂	ʰ		S	U+02B0	MODIFIER LETTER SMALL H	aspirated
⁂	ʼ		S	U+02BC	MODIFIER LETTER APOSTROPHE	ejective
⁂	ː		T	U+02D0	MODIFIER LETTER TRIANGULAR COLON	long
⁂	ˑ		T	U+02D1	MODIFIER LETTER HALF TRIANGULAR COLON	half-long
⁂	˥		U	U+02E5	MODIFIER LETTER EXTRA-HIGH TONE BAR	extra high tone
⁂	˦		U	U+02E6	MODIFIER LETTER HIGH TONE BAR	high tone
⁂	˧		U	U+02E7	MODIFIER LETTER MID TONE BAR	mid tone
⁂	˨		U	U+02E8	MODIFIER LETTER LOW TONE BAR	low tone
⁂	˩		U	U+02E9	MODIFIER LETTER EXTRA-LOW TONE BAR	extra low tone
⁂	↑		V	U+2191	UPWARDS ARROW	upstep
