201	553	3	7.78
106	804	11	7.1
101	958	15	8.63
148	472	5	7.24
143	151	18	7.4
110	2265	4	7.15
156	682	22	140.15
148	422	9	20.24
130	3243	3	11.49
108	5707	3	10.99
2810	131	3	9.88
1700	535	3	23.33
419	136	6	7.02
2002	134	3	9.15
185	1022	3	9.33
149	639	10	37.41
138	424	7	9.23
362	397	3	9.97
170	195	16	31.99
119	212	16	6.88
106	2438	5	8.97
128	740	8	20.33
636	115	7	6.98
449	342	4	16.91
135	3964	3	14.56
169	414	4	7.64
2816	103	5	6.79
1772	112	5	8.61
327	133	15	28.53
107	2690	4	6.77
2415	2430	6	101.02
1395	106	9	13.09
675	192	3	7.38
1597	469	3	21.68
4496	105	3	7.08
157	1499	3	9.81
204	195	7	8.42
888	8	6	9.36
130	833	5	8.61
533	103	20	12.62
513	205	3	7
231	152	8	6.85
133	1651	5	16.56
146	1336	3	7.37
781	219	5	22.43
313	241	6	18.35
209	761	4	15.2
232	473	3	7.96
2205	150	7	49.98
139	142	38	27.81
108	223	28	6.71
331	298	3	7.62
108	289	22	9.88
843	193	3	8.57
543	131	8	14.25
228	1118	3	12.83
115	208	22	7.99
145	117	51	18.1
471	209	3	6.98
218	16	19	18.86
115	151	43	7.94
307	235	4	8.53
307	309	3	7.07
102	153	122	9.45
971	128	4	6.91
264	211	5	9.06
1083	104	10	8.65
412	102	26	9.53
119	3963	3	16.16
605	281	3	10.72
529	1069	3	19.39
1487	138	3	6.78
263	178	8	16.1
1230	104	9	7.08
1056	161	3	8.38
5	6	4	9.4
116	3644	3	10.4
710	187	3	7.38
129	3703	3	13.15
108	4687	3	10.99
264	564	3	10
1583	21	3	8.22
5177	106	3	8.28
233	894	3	12.13
210	14	119	8.34
423	447	3	11.91
939	13	4	13.85
141	884	4	7.63
1148	133	6	16.63
1539	132	3	7.95
192	583	3	6.77
118	3244	3	9.07
102	2856	5	10.44
111	1274	6	8.21
215	335	7	21.81
1273	276	3	16.44
698	278	3	11.96
101	2474	6	8.26
254	174	6	8.19
390	118	15	26.35
957	110	7	6.9
788	760	5	42.86
101	2414	5	6.88
670	106	14	10.73
134	423	7	7.8
105	8	312	40.44
1670	112	7	16.39
1335	4390	3	41.17
129	150	32	15.3
1286	200	3	11.99
12	4675	3	6.8
592	132	6	8.84
5620	105	3	7.08
2414	101	5	6.88
101	840	16	9.65
106	922	11	9.14
3856	102	4	8.35
174	128	27	31.02
228	117	19	10.13
283	104	32	7.37
696	102	15	8.56
201	237	5	7.24
930	104	11	7.53
353	288	4	11.86
12	359	27	7.96
147	2194	3	11.89
1	326	6	8.52
116	2219	6	23.9
505	598	3	15.07
23	2	3	9.33
369	140	7	9.26
121	4094	3	13.44
741	486	4	24.45
197	1940	4	23.06
105	736	15	11.56
120	102	287	9.3
12	4377	3	6.8
181	465	4	8.77
3578	271	4	38.93
894	233	3	12.13
105	684	14	6.82
635	5	3	12.42
134	981	7	20.74
2311	101	7	9.64
110	101	754	10.9
159	114	41	7.18
101	3139	5	6.88
103	37	3	6.86
3601	117	3	10.39
433	693	3	15.18
128	348	8	8.36
326	294	7	28.61
4291	4565	3	54.67
128	408	8	11.01
139	3559	3	14.83
108	5590	3	10.99
105	2506	5	7.12
1024	112	7	7.65
172	1160	6	28.14
853	103	15	15.65
129	2425	3	9.55
105	4491	3	7.08
4831	103	3	6.86
185	145	18	20.29
110	5024	3	11.86
104	4899	3	7.26
7	2504	3	8.95
240	447	3	7.96
119	2234	3	7.16
5435	108	3	10.99
5551	103	3	6.86
131	157	35	30.74
587	116	8	8.44
109	3686	3	7.22
114	159	41	7.18
2590	129	4	15.98
2073	127	3	7.3
114	106	359	13.45
121	519	7	11.05
1496	207	5	30.02
188	699	3	7.18
105	5188	3	7.08
612	1023	3	19.83
898	169	3	8.4
647	133	6	9.86
611	165	6	18.34
723	200	3	8.25
1316	163	3	9.62
127	198	16	7.68
103	238	43	7.44
113	383	15	12.81
167	287	8	15.58
113	442	12	9.94
127	330	18	36.95
979	655	3	21.12
356	377	3	9.39
150	244	9	10.36
176	149	14	11.99
129	1977	3	7.51
150	102	125	9.34
109	269	23	10.66
140	242	10	9.81
1541	1335	3	28.97
2234	131	3	8.74
2206	107	7	23.82
193	114	38	19.76
106	4053	4	11.04
355	104	31	17.73
141	329	8	10.37
3493	6	3	23.95
3124	101	5	6.88
117	158	55	46.76
573	153	7	19.05
740	128	8	20.33
622	734	3	18.08
2227	102	6	7.66
117	113	202	100.37
163	122	30	16.19
1804	109	6	12.31
198	144	21	32.56
14	160	208	14.65
121	186	21	15.33
1225	186	4	17.42
3395	110	3	7.66
398	133	8	9.27
138	1743	3	8.04
4712	103	3	6.86
154	12	122	16.17
772	411	3	15.4
121	333	9	8.87
1907	1899	5	64.84
103	489	21	11.67
189	118	22	7.53
103	556	20	13.87
106	1430	8	10.93
16	4564	3	17.43
9	2003	5	17.88
104	3827	3	7.26
149	333	10	21.69
165	671	4	9.85
175	226	8	11.36
207	1442	3	14.26
1485	142	6	24.93
869	2286	3	28.21
116	3140	3	8.35
603	108	14	16.41
4328	105	3	7.08
124	12	256	23.3
12	729	14	6.9
101	372	41	21.96
435	227	3	7.05
156	282	7	8.51
167	1229	3	9.49
127	1206	4	7.48
240	127	15	14.72
106	103	946	48.72
352	188	5	9.67
145	1883	3	10.38
408	152	5	6.67
147	158	16	9.18
116	197	23	8.24
147	113	52	9
2198	102	7	14.62
2370	113	4	8.28
1163	143	3	6.86
363	161	6	11.33
2	1627	3	9.33
132	2598	3	10.01
12	2581	5	6.7
769	5	3	13.73
5	3598	3	26.26
111	644	9	7.02
115	3368	3	7.58
335	155	7	10.58
104	131	182	8.71
104	196	61	8.78
981	126	6	13.95
106	4953	3	8.28
170	700	3	6.7
115	1929	5	13.2
1769	109	7	17.71
967	136	5	12.01
550	134	9	19.25
148	1097	6	20.88
3079	114	4	12.12
149	171	16	16.46
284	162	35	190.02
1608	104	7	6.85
149	124	37	19.26
116	3015	3	8.35
284	102	36	11.05
149	288	7	8.03
665	404	3	14.22
