1515	3267	7
5123	7660	7
145	4686	14
362	9941	9
716	6081	4
101	4772	12
3741	4722	17
12	2347	12
101	6850	10
218	2208	0
128	288	7
10547	6906	0
456	661	24
124	4734	3
104	5652	5
136	4209	10
14	4792	8
657	2056	4
3220	2140	21
104	7731	8
9187	3005	32
111	8535	5
540	1764	17
141	4438	11
423	8737	8
102	3333	23
238	1364	6
101	6206	2
14	5448	12
137	9867	7
14	8430	8
106	2419	11
545	9000	3
102	4893	14
7	2611	23
101	9663	11
5618	4763	9
2275	5127	1
22656	2576	6
514	5822	16
3165	7714	16
105	3878	6
9	4772	18
7264	2018	14
1902	5015	19
129	2399	2
15886	5215	21
12	4860	4
112	1821	0
104	7310	11
755	4407	6
2353	8773	12
102	3121	10
901	7908	10
107	1527	2
104	1775	8
125	7935	13
116	8031	3
122	5442	19
1130	2057	4
5801	9867	5
107	6482	24
14	4943	8
12	6545	10
155	1977	0
14	9961	12
187	7822	17
2244	7892	2
29509	1374	10
122	7590	3
121	3663	5
126	6917	8
309	4259	12
1542	9154	11
1420	8194	9
302	3201	8
17746	8838	1
111	3728	2
229	4484	6
119	8903	6
2076	6372	15
847	6602	0
910	7933	6
124	6482	6
14	191	13
24066	2103	2
104	2425	10
109	5374	8
31171	3947	9
121	9522	5
108	6960	2
28670	4931	1
598	7931	0
1404	4603	5
1108	337	0
101	8453	12
13153	5504	0
14	6643	19
24408	3565	6
370	2895	13
445	5502	15
114	4209	6
225	8850	8
104	5496	19
3315	7107	8
102	8806	19
12	1837	16
116	5538	19
2111	958	5
22759	5344	25
350	469	29
101	4489	17
7247	5264	30
1633	9818	1
5548	145	16
15328	8340	22
3259	3543	4
6836	9129	7
28120	9166	18
106	698	6
282	9510	11
103	5979	2
12617	2167	16
2336	9206	3
14	9935	25
460	64	3
112	7640	0
101	7120	2
455	8063	5
103	8060	15
476	5337	1
102	3221	9
126	9890	20
109	743	9
153	4517	6
8103	4807	2
517	5582	2
110	1611	4
24734	3296	4
1672	306	6
103	4695	14
17288	631	0
134	4029	1
128	2911	1
101	307	23
1062	4903	2
16261	6089	20
3572	8520	21
292	8924	14
1107	9335	19
1117	3444	2
102	9822	2
1107	30	7
104	4416	2
123	6030	4
4021	9178	3
9729	4108	20
7425	1025	15
4488	2112	4
26313	3713	12
1082	2114	15
986	8682	2
165	8809	17
546	7131	10
607	6274	22
4858	560	11
152	7520	4
1628	5035	11
1313	9217	11
480	3909	12
24373	8900	2
154	6249	15
117	9433	32
184	6145	1
