464	101	5	4.27
143	151	3	4.47
148	422	9	67.76
101	1094	8	27.34
149	639	4	28.07
3674	3583	3	62.47
106	2438	4	24.54
101	2372	5	22.28
169	414	4	27.1
327	133	8	45.71
2415	2430	6	134.62
934	14	5	9
105	530	6	15.38
106	3210	3	17.42
139	142	16	60.07
2205	150	5	55.05
145	117	9	13.53
2648	102	4	21.19
115	151	8	11.11
1402	102	7	34.24
101	1902	4	13.67
173	111	7	9.73
1133	14	6	15.36
142	116	6	4.65
2	8	7	4.42
1087	14	5	10.16
102	2856	4	23.77
225	358	3	21.17
101	2414	3	10.25
111	462	3	8
129	150	9	24.09
1052	14	9	30.65
101	840	5	8.97
696	102	11	45.48
201	111	4	4.21
1	2	6	13.48
134	981	5	37.66
272	107	10	30.25
110	101	221	220.39
101	3139	3	11.74
110	168	7	8.54
4291	4565	3	71.47
240	447	3	23.69
103	1501	3	9.87
346	108	5	12.94
5298	14	3	17.25
334	118	3	8.97
483	14	7	8.16
113	442	3	8.11
127	330	6	29.67
979	655	3	36.79
1541	1335	3	45.76
2206	107	7	61.83
193	114	5	6.65
141	329	5	26.76
117	158	24	95.94
304	255	3	21.08
163	122	5	9.19
198	144	8	36.63
487	104	4	6.64
1944	102	3	11.23
121	186	3	4.2
750	14	6	10.08
101	1206	3	4.8
1907	1899	5	92.84
189	118	7	18.73
351	14	10	10.59
103	556	16	77.13
106	1430	4	17.94
869	2286	3	45
783	14	9	23.51
103	1323	3	8.81
101	447	12	26.97
106	103	187	136.85
1432	14	4	9.4
190	205	4	20.41
147	158	5	14.29
2198	102	7	50.26
769	5	3	28.69
137	122	6	6.22
190	107	26	92.45
1769	109	3	16.09
103	1161	4	12.96
106	260	8	14.16
149	124	16	55.14
128	148	4	4.38
1285	127	3	19.95
448	14	6	4.85
682	156	22	260.63
841	14	8	19.61
103	2683	4	22.28
417	14	19	52.03
104	1492	3	10.19
101	3990	3	13.87
104	1448	3	10.19
101	3938	4	24.37
101	1293	5	13.92
101	1241	5	13.09
1135	107	3	11.77
1250	101	3	4.8
960	102	3	6.16
114	454	4	13.48
121	124	11	14.12
316	102	10	19.35
154	143	4	7.89
103	255	24	80.84
106	1329	4	17.13
101	1377	4	9.87
377	208	6	49.94
341	117	6	24.95
2004	102	6	34.19
101	1495	4	10.63
