originals	tokenized
nen	n e n
nE	n E
nw~3	nw~ 3
no	n o
ne	n e
ne	n e
ne	n e
nE	n E
nai	n a i
nai	n a i
nu	n u
mhy$E	mhy$ E
neN	n e N
nai	n a i
neN	n e N
5en	5 e n
my~en	my~ e n
5en	5 e n
mun	m u n
5en	5 e n
neN	n e N
neN	n e N
ne	n e
nu	n u
min	m i n
neN	n e N
my~En	my~ E n
neN	n e N
ne	n e
ne	n e
nE	n E
my~en	my~ e n
no	n o
nai	n a i
au	a u
u7au	u 7 a u
Lay	L a y
hau	h a u
kun	k u n
alai	a l a i
aw	a w
ha	h a
8a	8 a
maiN	m a i N
ma7iN	m a 7 i N
ch~z7	ch~ z 7
Nau	N a u
ma7iN	m a 7 i N
lxu	l x u
oe	o e
klau	k l a u
ci	c i
ax3u	a x 3 u
afu	a f u
Ny~un	Ny~ u n
q3ch~u	q 3 ch~ u
ny~un	ny~ u n
maiN	m a i N
ma7iN	m a 7 i N
xo	x o
v3i7	v 3 i 7
ov3i7	o v 3 i 7
qoch~u	q o ch~ u
to	t o
qu	q u
wakon	w a k o n
huN	h u N
kon	k o n
fu	f u
l3n	l 3 n
l3n	l 3 n
kon	k o n
pu	p u
kon	k o n
soN	s o N
c3n	c 3 n
leNhun	l e N h u n
aiTin	a i T i n
aidy~in	a i dy~ i n
hun	h u n
wun	w u n
vun	v u n
kun	k u n
kun	k u n
kun	k u n
n3n	n 3 n
53n	5 3 n
kh~on	kh~ o n
wun	w u n
aidin	a i d i n
aiTin	a i T i n
aidy~in	a i dy~ i n
xon	x o n
kh~on	kh~ o n
ph~u	ph~ u
wun	w u n
leNhun	l e N h u n
hun	h u n
k3n	k 3 n
kun	k u n
kun	k u n
ph~u	ph~ u
kun	k u n
ph~u	ph~ u
k3n	k 3 n
k3n	k 3 n
S3n	S 3 n
ku	k u
kun	k u n
din	d i n
kon	k o n
z3n	z 3 n
kon	k o n
s3n	s 3 n
kan	k a n
kon	k o n
k3n	k 3 n
leNhun	l e N h u n
h3n	h 3 n
lak	l a k
5un	5 u n
gon	g o n
Gwun	G w u n
hun	h u n
gun	g u n
hun	h u n
hun	h u n
ph~u	ph~ u
hun	h u n
tak	t a k
z3n	z 3 n
kon	k o n
ph~u	ph~ u
kon	k o n
manuksa7	m a n u k s a 7
wun	w u n
hon	h o n
lan	l a n
yan	y a n
z3n	z 3 n
kh~on	kh~ o n
ph~u	ph~ u
kh~on	kh~ o n
kh~on	kh~ o n
z3n	z 3 n
z3n	z 3 n
z3n	z 3 n
zen	z e n
kh~on	kh~ o n
ph~u	ph~ u
kon	k o n
xon	x o n
kon	k o n
kh~on	kh~ o n
ph~u	ph~ u
kon	k o n
pu	p u
kon	k o n
ph~ow	ph~ o w
ken	k e n
ph~ow	ph~ o w
kh~on	kh~ o n
ph~u	ph~ u
kon	k o n
ph~u	ph~ u
hun	h u n
kon	k o n
ph~u	ph~ u
xun	x u n
paw	p a w
aidin	a i d i n
aiTin	a i T i n
aidy~in	a i dy~ i n
ph~uzau	ph~ u z a u
miN	m i N
yin	y i n
yin	y i n
yin	y i n
gon	g o n
kh~on	kh~ o n
ph~u	ph~ u
kh~on	kh~ o n
y3n	y 3 n
hun	h u n
kun	k u n
ph~u	ph~ u
kun	k u n
xun	x u n
kun	k u n
wun	w u n
vun	v u n
z3n	z 3 n
kun	k u n
hun	h u n
pu	p u
hun	h u n
hun	h u n
kon	k o n
k3n	k 3 n
53n	5 3 n
vun	v u n
k3n	k 3 n
x3n	x 3 n
batEk	b a t E k
l37	l 3 7
bri7	b r i 7
Tah	T a h
m3nra7	m 3 n r a 7
mani7	m a n i 7
m3ni7	m 3 n i 7
s3ma7	s 3 m a 7
hma7	h m a 7
batEik	b a t E i k
s3ma7	s 3 m a 7
sn7~oy	s n7~ o y
sN7o*y	s N 7 o* y
s3ma7	s 3 m a 7
s3ma7	s 3 m a 7
sma7	s m a 7
sEn7oy	s E n 7 o y
s3ma7	s 3 m a 7
mani7	m a n i 7
hami7	h a m i 7
b3Nai	b 3 N a i
b3Nay	b 3 N a y
tamun	t a m u n
m3nih	m 3 n i h
m3Nai	m 3 N a i
m3Naj	m 3 N a j
p3nuyh	p 3 n u y h
nnuyh	n n u y h
b3nih	b 3 n i h
b3nus	b 3 n u s
k3draN	k 3 d r a N
b3nuy	b 3 n u y
b3rux	b 3 r u x
Ne	N e
Tau	T a u
b3nEh	b 3 n E h
p3noih	p 3 n o i h
mNei	m N e i
kuay	k u a y
kuay	k u a y
kh~uy	kh~ u y
nak	n a k
kui	k u i
kuy	k u y
kuy	k u y
kamat	k a m a t
na7	n a 7
tikuay	t i k u a y
kuay	k u a y
i7	i 7
briw	b r i w
brew	b r e w
bru	b r u
Cu pro	C u   p r o
manus	m a n u s
manus	m a n u s
mn3h	m n 3 h
mNaay	m N a a y
mra7	m r a 7
mnih	m n i h
nih	n i h
hnih	h n i h
m3nih	m 3 n i h
m3nih	m 3 n i h
tarik	t a r i k
payuh	p a y u h
piau	p i a u
py~au	py~ a u
Th~e	Th~ e
T3m	T 3 m
kas3m	k a s 3 m
r3s3m	r 3 s 3 m
r3C3m	r 3 C 3 m
rosim	r o s i m
kasum	k a s u m
kX3Tum	k X 3 T u m
hor	h o r
hor	h o r
remua	r e m u a
hor	h o r
luko	l u k o
monra	m o n r a
yh~an lebu	yh~ a n   l e b u
koro	k o r o
hor	h o r
horo	h o r o
horo	h o r o
hor	h o r
hor	h o r
hor	h o r
hor	h o r
hor	h o r
hor	h o r
remo	r e m o
hor	h o r
mandra	m a n d r a
pui	p u i
ph~ui	ph~ u i
pui	p u i
p3siN	p 3 s i N
kon	k o n
ph~ui	ph~ u i
lo	l o
ph~ui	ph~ u i
to i	t o   i
tu 7i	t u   7 i
pui	p u i
kon	k o n
bi	b i
k3mmu	k 3 m m u
gon	g o n
ksiN	k s i N
ksiN	k s i N
e7i7	e 7 i 7
pui	p u i
kon	k o n
ha	h a
ph~ui	ph~ u i
ph~i	ph~ i
mla	m l a
vi	v i
p3i	p 3 i
i	i
u	u
pui	p u i
pui	p u i
ph~ui	ph~ u i
i7i7	i 7 i 7
ph~ui	ph~ u i
ph~ui	ph~ u i
ph~ui	ph~ u i
m3lieN	m 3 l i e N
mol	m o l
Ni3y	N i 3 y
Nay	N a y
Nay	N a y
kon	k o n
Nuoi	N u o i
nguoi	n g u o i
Nuoi	N u o i
koleag	k o l e a g
oleau	o l e a u
oloiTit	o l o i T i t
abdalag	a b d a l a g
nule	n u l e
kodio tanye	k o d i o   t a n y e
nu	n u
ne	n e
abdalag	a b d a l a g
eN	e N
3N	3 N
3N	3 N
eN	e N
a7anda	a 7 a n d a
oNe	o N e
NG~olon	NG~ o l o n
CuquLiq	C u q u L i q
bunun	b u n u n
ciuli7	c i u l i 7
s3di7	s 3 d i 7
se7edi7	s e 7 e d i 7
ry~Eniq	ry~ E n i q
squliq	s q u l i q
s7kh~ulikh~	s 7 kh~ u l i kh~
cau	c a u
awu	a w u
ttawu	t t a w u
au	a u
ttau	t t a u
cau	c a u
cau	c a u
tau	t a u
taumata7	t a u m a t a 7
tau	t a u
tau	t a u
taumataq	t a u m a t a q
tawu	t a w u
tagu7	t a g u 7
anak	a n a k
tau	t a u
tawu	t a w u
fataNa	f a t a N a
ulu	u l u
ulun	u l u n
lun	l u n
ulun	u l u n
karunon	k a r u n o n
uluh	u l u h
ulun	u l u n
ulun	u l u n
ulu	u l u
uluna	u l u n a
ulu	u l u
olo	o l o
olo	o l o
olo	o l o
ulu	u l u
olo	o l o
uluna	u l u n a
ulu	u l u
nd~ati	nd~ a t i
olo	o l o
uluna	u l u n a
oloNo	o l o N o
olo	o l o
olona	o l o n a
olona	o l o n a
ulu	u l u
ulu	u l u
olo	o l o
olo	o l o
olona	o l o n a
olo	o l o
olo	o l o
uluna	u l u n a
olo	o l o
olo	o l o
olona	o l o n a
olona	o l o n a
olo	o l o
ulu	u l u
nd~ati	nd~ a t i
nd~ati	nd~ a t i
ndati	n d a t i
ndati	n d a t i
olo	o l o
uluNu	u l u N u
oloNo	o l o N o
nd~ati	nd~ a t i
ulu	u l u
ulun	u l u n
uluh	u l u h
ulun kalunen	u l u n   k a l u n e n
uluh	u l u h
ulun	u l u n
ulun	u l u n
duLun	d u L u n
ulun	u l u n
ulun	u l u n
ata	a t a
tamata	t a m a t a
mansia	m a n s i a
tau	t a u
aitopu	a i t o p u
misier	m i s i e r
mEnsiE	m E n s i E
atoni	a t o n i
tuaf	t u a f
ata	a t a
dou	d o u
mansia	m a n s i a
otitui	o t i t u i
geba	g e b a
oiyElei	o i y E l e i
Es	E s
Esran	E s r a n
eSi	e S i
d3u	d 3 u
tamatu	t a m a t u
tamot	t a m o t
momo	m o m o
manC~ia	m a nC~ i a
ata	a t a
to	t o
ito	i t o
toyo	t o y o
manC~ia	m a nC~ i a
manusia	m a n u s i a
hatu	h a t u
oliE7	o l i E 7
tau	t a u
atedien	a t e d i e n
umat	u m a t
atamasa	a t a m a s a
ata	a t a
ri	r i
tia	t i a
ata	a t a
atadika*	a t a d i k a*
ata	a t a
masa	m a s a
masi	m a s i
ria	r i a
tau	t a u
ata	a t a
ri3	r i 3
atauba	a t a u b a
tu	t u
ata	a t a
mans~ia	m a ns~ i a
ata	a t a
tamata	t a m a t a
tamota	t a m o t a
eyai	e y a i
minCia	m i n C i a
ata	a t a
tamata	t a m a t a
aitopu	a i t o p u
tau	t a u
tau	t a u
taumata7	t a u m a t a 7
tau	t a u
tau	t a u
hiri	h i r i
do7u	d o 7 u
otihano	o t i h a n o
tamota	t a m o t a
ata biaN	a t a   b i a N
ata	a t a
matatu	m a t a t u
oi	o i
tau	t a u
itopu	i t o p u
tamata	t a m a t a
otiye	o t i y e
hataholi	h a t a h o l i
ema	e m a
tamo7a	t a m o 7 a
aitopu	a i t o p u
atu	a t u
mans~ia	m a ns~ i a
atoni	a t o n i
tamata	t a m a t a
tu	t u
tou	t o u
mansia	m a n s i a
ata	a t a
deo	d e o
tomw~ate	t o mw~ a t e
taotao	t a o t a o
petsona	p e t s o n a
j3ma	j 3 m a
woN	w o N
waN	w a N
woN	w o N
woN	w o N
lino	l i n o
kelunan	k e l u n a n
s3wun	s 3 w u n
kelunan	k e l u n a n
lun	l u n
jolma	j o l m a
jimo	j i m o
ulun	u l u n
yemow	y e m o w
bakas	b a k a s
na	n a
o5a	o 5 a
dayah	d a y a h
oreN	o r e N
oraN	o r a N
ureureN	u r e u r e N
owo7	o w o 7
uraN	u r a N
yeme	y e m e
oraN	o r a N
lakEy	l a k E y
manus	m a n u s
m3nix	m 3 n i x
uyaN	u y a N
oraN	o r a N
oraN	o r a N
oraN	o r a N
insan	i n s a n
oraN	o r a N
m3nuih	m 3 n u i h
uha	u h a
uhan	u h a n
uha	u h a
uh3N	u h 3 N
oraN	o r a N
uraN	u r a N
oraN	o r a N
oraN	o r a N
oxE	o x E
oraN	o r a N
uraN	u r a N
uraN	u r a N
vuon vila	v u o n   v i l a
j3m3	j 3 m 3
woN	w o N
uraN	u r a N
lak3i	l a k 3 i
uraN	u r a N
ra	r a
uraN	u r a N
mnuih	m n u i h
po	p o
manusia	m a n u s i a
urakN	u r a k N
uraN	u r a N
oraN	o r a N
zaN7~	z a N7~
tawuh	t a w u h
tawo	t a w o
taw	t a w
taw	t a w
lama	l a m a
tau	t a u
ta7u	t a 7 u
taqu	t a q u
tawo	t a w o
tao	t a o
ta7u	t a 7 u
tawo	t a w o
tawu	t a w u
tawo	t a w o
katawan	k a t a w a n
tao	t a o
tau7	t a u 7
taw7	t a w 7
tawu	t a w u
tawu	t a w u
tao	t a o
tawu	t a w u
tEwo	t E w o
tEwo	t E w o
utaw	u t a w
utaw	u t a w
utaw	u t a w
tawo	t a w o
tawu	t a w u
tawu	t a w u
ta7o	t a 7 o
utaw	u t a w
utaw	u t a w
utaw	u t a w
utaw	u t a w
utaw	u t a w
tawu	t a w u
tawu	t a w u
tawo	t a w o
jolama	j o l a m a
Tolama	T o l a m a
tawu	t a w u
tahu	t a h u
tawu	t a w u
tawu	t a w u
taw	t a w
ta7o	t a 7 o
taeuh	t a e u h
ta7u	t a 7 u
utaw	u t a w
taw	t a w
tawo	t a w o
tawu	t a w u
tawu	t a w u
tawu	t a w u
taw	t a w
tawo	t a w o
tao	t a o
taw	t a w
taw	t a w
tau7	t a u 7
ta7uh	t a 7 u h
ta7uh	t a 7 u h
ta7u	t a 7 u
tawo	t a w o
tawo	t a w o
k3ti	k 3 t i
m3nut	m 3 n u t
toloy	t o l o y
alta	a l t a
agani	a g a n i
tolay	t o l a y
tao	t a o
tatagu	t a t a g u
ipogaw	i p o g a w
ipugaw	i p u g a w
tagu	t a g u
tolay	t o l a y
agta7	a g t a 7
tolay	t o l a y
tako	t a k o
tolay	t o l a y
to	t o
tolay	t o l a y
tagu	t a g u
tagu	t a g u
tagu	t a g u
tao	t a o
tu7u	t u 7 u
tao	t a o
to7o	t o 7 o
tao	t a o
tao	t a o
tolay	t o l a y
tolay	t o l a y
tolEy	t o l E y
tawu7	t a w u 7
ta7o	t a 7 o
tawo	t a w o
tao7	t a o 7
tagu	t a g u
tagu	t a g u
tu7u	t u 7 u
tu7u7	t u 7 u 7
ipogaw	i p o g a w
ipogaw	i p o g a w
tau	t a u
tagu	t a g u
tagu	t a g u
to	t o
tao	t a o
taku	t a k u
agta	a g t a
patud	p a t u d
tau	t a u
tao	t a o
tawlay	t a w l a y
lEmulun	l E m u l u n
bulo3n	b u l o 3 n
ulun	u l u n
ba7i	b a 7 i
j3l3ma7	j 3 l 3 m a 7
tulun	t u l u n
ulun	u l u n
linow	l i n o w
l3mulon	l 3 m u l o n
lun	l u n
tenawan	t e n a w a n
tulun	t u l u n
ulun	u l u n
ulun	u l u n
garam gar	g a r a m   g a r
ka*mo	k a* m o
konaimere	k o n a i m e r e
konakonaitakuni	k o n a k o n a i t a k u n i
tioN	t i o N
otogou	o t o g o u
garam	g a r a m
natimi	n a t i m i
taNata	t a N a t a
taNata	t a N a t a
aCi	a C i
tatogu	t a t o g u
Nain	N a i n
toltol	t o l t o l
sae	s a e
inoni	i n o n i
tumoa	t u m o a
normw~an	n o r mw~ a n
cunump~	c u n u mp~
inoni	i n o n i
asma	a s m a
mb~3se	mb~ 3 s e
neren aben	n e r e n   a b e n
sime	s i m e
garam	g a r a m
tat	t a t
tat	t a t
sumw~an	s u mw~ a n
na	n a
leipula	l e i p u l a
eobo	e o b o
kurap tamut	k u r a p   t a m u t
todi	t o d i
ainoni	a i n o n i
ainuni	a i n u n i
taru	t a r u
yoru	y o r u
atat	a t a t
m3rtu	m 3 r t u
m3rtuiamak	m 3 r t u i a m a k
tau	t a u
tamol	t a m o l
tuluNen	t u l u N e n
nakoni	n a k o n i
biri	b i r i
m3Go	m 3 G o
meXo	m e X o
mog	m o g
Narumuku	N a r u m u k u
Namala7	N a m a l a 7
tinoni	t i n o n i
doga	d o g a
Nga7	N g a 7
7awa7awawa	7 a w a 7 a w a w a
kaliva	k a l i v a
aramas	a r a m a s
apulip	a p u l i p
tatu	t a t u
naikno	n a i k n o
yair	y a i r
bEnten	b E n t e n
maux	m a u x
amaru	a m a r u
at	a t
tinoni	t i n o n i
namoya	n a m o y a
3mx~ut	3 mx~ u t
mekEt	m e k E t
tomota	t o m o t a
noni	n o n i
tinoni	t i n o n i
maro7	m a r o 7
ut	u t
taNaloi	t a N a l o i
taNaloi	t a N a l o i
taNata	t a N a t a
armEj	a r m E j
taNata	t a N a t a
nat	n a t
enini	e n i n i
Nwane	N w a n e
tioN	t i o N
tamata	t a m a t a
natamata	n a t a m a t a
taNata	t a N a t a
taNata	t a N a t a
kilisiteano	k i l i s i t e a n o
kau	k a u
wawaya	w a w a y a
tamol	t a m o l
tamol	t a m o l
tinoni	t i n o n i
naikno	n a i k n o
Nero	N e r o
tean3*	t e a n 3*
tomota	t o m o t a
ut	u t
akatun	a k a t u n
Co3n	C o 3 n
ainuni	a i n u n i
kanaka	k a n a k a
kanaka	k a n a k a
kanaka	k a n a k a
tayE	t a y E
nikana	n i k a n a
7aNo	7 a N o
at	a t
to	t o
tomotoxa	t o m o t o x a
Na7	N a 7
kaC	k a C
enuni	e n u n i
ramot	r a m o t
ramat	r a m a t
7a7mor	7 a 7 m o r
taNata	t a N a t a
mb~ose	mb~ o s e
tunus	t u n u s
karu	k a r u
tambu	t a m b u
tomota	t o m o t a
aomata	a o m a t a
na7ikno	n a 7 i k n o
nakoni	n a k o n i
tund~un	t u nd~ u n
ava	a v a
pana	p a n a
maux	m a u x
wabekau	w a b e k a u
ndoluru nikana	n d o l u r u   n i k a n a
mw~et	mw~ e t
wane mouri	w a n e   m o u r i
ai	a i
yarmama	y a r m a m a
yerumama	y e r u m a m a
yerumw~an	y e r u mw~ a n
Nw~ae	Nw~ a e
nie	n i e
nimkut	n i m k u t
7amina	7 a m i n a
tr~atr~un	tr~ a tr~ u n
rarina	r a r i n a
yer	y e r
odukpuda	o d u k p u d a
loli	l o l i
enata	e n a t a
t3mbEy	t 3 m b E y
toa	t o a
imola	i m o l a
imola	i m o l a
at	a t
at	a t
de*amat	d e* a m a t
na7ikno	n a 7 i k n o
natamw~ol	n a t a mw~ o l
n7oNsor	n 7 o N s o r
tinoni	t i n o n i
tinoni	t i n o n i
namogot	n a m o g o t
Tamok	T a m o k
yaru	y a r u
yaru	y a r u
yaru	y a r u
Tamak	T a m a k
mb~Esi	mb~ E s i
inoni	i n o n i
amat	a m a t
wEnten	w E n t e n
tali	t a l i
non	n o n
ramat	r a m a t
kaNaka	k a N a k a
tomoto	t o m o t o
tinoni	t i n o n i
tanta	t a n t a
inoni	i n o n i
aradi	a r a d i
moti	m o t i
morti	m o r t i
tau	t a u
3t3man	3 t 3 m a n
saukitamati	s a u k i t a m a t i
Ngare	N g a r e
tinoni	t i n o n i
kurap	k u r a p
natamtamaol	n a t a m t a m a o l
nat3mt3mau	n a t 3 m t 3 m a u
mw~arnan	mw~ a r n a n
moro	m o r o
tamw~ata	t a mw~ a t a
mai	m a i
mane	m a n e
mow	m o w
tomoto	t o m o t o
tangata	t a n g a t a
taNata	t a N a t a
malux	m a l u x
Na maro7	N a   m a r o 7
inoni	i n o n i
garam	g a r a m
tinoni	t i n o n i
enana	e n a n a
harmi	h a r m i
nebanuan	n e b a n u a n
lipu7	l i p u 7
tamat painim	t a m a t   p a i n i m
fahalo	f a h a l o
imole	i m o l e
Nwane	N w a n e
ikana	i k a n a
Ngare	N g a r e
tomtom	t o m t o m
papiau	p a p i a u
taNata	t a N a t a
axau	a x a u
ban	b a n
tEnd~un	t E nd~ u n
tomotau	t o m o t a u
gunani tuna	g u n a n i   t u n a
gomogoL	g o m o g o L
woal	w o a l
Ngare	N g a r e
tomotau	t o m o t a u
tioN	t i o N
tiong	t i o n g
taNata	t a N a t a
txakat"	t x a k a t"
bau	b a u
otaNsar	o t a N s a r
taNsar	t a N s a r
tanun	t a n u n
et	e t
taunimanima	t a u n i m a n i m a
gute	g u t e
gute	g u t e
nemerte	n e m e r t e
NaiN	N a i N
arom	a r o m
taumattu	t a u m a t t u
tamox	t a m o x
gamag	g a m a g
tau	t a u
malE	m a l E
a Cas tunan	a   C a s   t u n a n
at	a t
tumw~a7an	t u mw~ a 7 a n
lepmelo	l e p m e l o
taNaTa	t a N a T a
tino	t i n o
tamlos	t a m l o s
Camat	C a m a t
eName	e N a m e
tinoni	t i n o n i
lepul3	l e p u l 3
leipul3	l e i p u l 3
tamat	t a m a t
agu	a g u
kaT	k a T
lipu	l i p u
Nom	N o m
Nome	N o m e
tinoni	t i n o n i
tinoni	t i n o n i
tinoni	t i n o n i
tinoni	t i n o n i
taNata	t a N a t a
bEnten	b E n t e n
natamw~oli	n a t a mw~ o l i
natamol	n a t a m o l
natamoli	n a t a m o l i
nae	n a e
tamaloxi	t a m a l o x i
enana	e n a n a
enata	e n a t a
taNada	t a N a d a
tamtamoNa	t a m t a m o N a
tuartund~un	t u a r t u nd~ u n
ndr$amak	ndr$ a m a k
Namaru7	N a m a r u 7
inoni	i n o n i
namw~e	n a mw~ e
inoni	i n o n i
haitenek	h a i t e n e k
mw~eatin	mw~ e a t i n
bux	b u x
tunatuno	t u n a t u n o
taNata	t a N a t a
tai	t a i
3r3mas	3 r 3 m a s
ErEmas	E r E m a s
mug	m u g
aramas	a r a m a s
noni	n o n i
xaracika	x a r a c i k a
taNwata	t a N w a t a
tau	t a u
mata	m a t a
tau	t a u
tau	t a u
taumataq	t a u m a t a q
taumata	t a u m a t a
taumwata	t a u m w a t a
took	t o o k
taNata	t a N a t a
taNata	t a N a t a
tau	t a u
armata	a r m a t a
aramata	a r a m a t a
taNata	t a N a t a
kovi	k o v i
yalemata	y a l e m a t a
yeremah	y e r e m a h
atatu	a t a t u
taNata	t a N a t a
taNata	t a N a t a
taNata	t a N a t a
ainuni	a i n u n i
pegea	p e g e a
bues	b u e s
nimu	n i m u
tamluslabul	t a m l u s l a b u l
marima	m a r i m a
famori	f a m o r i
le7e	l e 7 e
tinoni	t i n o n i
tie	t i e
ta7ata	t a 7 a t a
inoni	i n o n i
tamowai	t a m o w a i
taNata	t a N a t a
tagata	t a g a t a
ainuni	a i n u n i
atuntun	a t u n t u n
mau	m a u
seilon	s e i l o n
azu	a z u
mb~3si	mb~ 3 s i
po	p o
tonus	t o n u s
kaleya	k a l e y a
tali	t a l i
tali	t a l i
baranmomol	b a r a n m o m o l
neteme	n e t e m e
tanata	t a n a t a
tama	t a m a
Namaro	N a m a r o
tinoni	t i n o n i
tarima	t a r i m a
tamone	t a m o n e
kore	k o r e
alom	a l o m
garaNgat	g a r a N g a t
bosi	b o s i
ramat	r a m a t
azo	a z o
temto	t e m t o
nakatun	n a k a t u n
yalemata	y a l e m a t a
natamw~ol	n a t a mw~ o l
nat	n a t
tane	t a n e
tamalohi	t a m a l o h i
mw~oletin	mw~ o l e t i n
n3tax	n 3 t a x
yermamakik	y e r m a m a k i k
yalumw~an	y a l u mw~ a n
azu	a z u
doga	d o g a
lolo	l o l o
NalaNgal	N a l a N g a l
ziktun	z i k t u n
k3l3mul	k 3 l 3 m u l
asi	a s i
mai	m a i
mane	m a n e
ta7ata	t a 7 a t a
ta7ata	t a 7 a t a
ta7ata	t a 7 a t a
mes	m e s
tamolpein	t a m o l p e i n
talpein	t a l p e i n
tama	t a m a
tuai	t u a i
tamala	t a m a l a
tinoni	t i n o n i
anuka	a n u k a
tamat	t a m a t
tamlohi	t a m l o h i
dui	d u i
tamu7	t a m u 7
na ikno	n a   i k n o
tu	t u
enuni	e n u n i
mw~aliko	mw~ a l i k o
aba	a b a
tiar	t i a r
vap	v a p
tena	t e n a
taNata	t a N a t a
imole	i m o l e
tagata	t a g a t a
tino	t i n o
gare	g a r e
bao	b a o
taNata	t a N a t a
tokotaha	t o k o t a h a
taNata	t a N a t a
tioni	t i o n i
ma	m a
aramas	a r a m a s
tamtamon	t a m t a m o n
taNata	t a N a t a
lama	l a m a
makan	m a k a n
vap	v a p
mb~ose	mb~ o s e
tino	t i n o
enana	e n a n a
sabu	s a b u
ikana	i k a n a
inoni	i n o n i
ramat	r a m a t
inoni	i n o n i
yaramat	y a r a m a t
kau	k a u
tai	t a i
mb~osoe	mb~ o s o e
nia	n i a
lamoka	l a m o k a
tamalo	t a m a l o
mb~asoe	mb~ a s o e
amsar	a m s a r
kaka	k a k a
malux	m a l u x
noni	n o n i
cnEmb~	c n E mb~
imola	i m o l a
tagata	t a g a t a
kilisitiano	k i l i s i t i a n o
garagab	g a r a g a b
NaeN	N a e N
Nain	N a i n
garam	g a r a m
e8ola	e 8 o l a
rava	r a v a
toNoloi	t o N o l o i
mana	m a n a
tagata	t a g a t a
suah	s u a h
yetamimi	y e t a m i m i
ramata	r a m a t a
yaremata	y a r e m a t a
kama7a	k a m a 7 a
kamu*ru*	k a m u* r u*
Namala7	N a m a l a 7
a5o	a 5 o
garam	g a r a m
noni	n o n i
nakoni	n a k o n i
bux	b u x
tamLaw	t a m L a w
tamdaw	t a m d a w
sau	s a u
saw	s a w
tau	t a u
tamLaw	t a m L a w
Co	C o
babosa	b a b o s a
Zarat	Z a r a t
LaZat	L a Z a t
rEzEt	r E z E t
rEzEt	r E z E t
taw	t a w
caucau	c a u c a u
so7o	s o 7 o
8o	8 o
sou	s o u
8ou	8 o u
sau	s a u
ssau	s s a u
sao	s a o
sau	s a u
saw	s a w
tau	t a u
tau	t a u
atou	a t o u
mE7iyEh	m E 7 i y E h
sidaia	s i d a i a
ta7u	t a 7 u
caw	c a w
a8	a 8
tun	t u n
musia	m u s i a
jomo	j o m o
manusia	m a n u s i a
a7a	a 7 a
manusi3	m a n u s i 3
a7a	a 7 a
aha	a h a
manusia	m a n u s i a
munusia	m u n u s i a
manusia	m a n u s i a
aha	a h a
manusia	m a n u s i a
musia	m u s i a
manusia	m a n u s i a
manu7si3	m a n u 7 s i 3
aha	a h a
manusia	m a n u s i a
jama	j a m a
manusiya7	m a n u s i y a 7
munusia	m u n u s i a
manusia	m a n u s i a
a7a	a 7 a
musia	m u s i a
a7a	a 7 a
a7a	a 7 a
inoN	i n o N
met	m e t
muan	m u a n
muaN	m u a N
mi7	m i 7
man	m a n
snon	s n o n
snonkaku	s n o n k a k u
mat	m a t
smat	s m a t
met	m e t
snoman	s n o m a n
manusia	m a n u s i a
5at	5 a t
manusia	m a n u s i a
matu	m a t u
masia	m a s i a
mat	m a t
iman	i m a n
mat	m a t
manusia	m a n u s i a
mat	m a t
matumol	m a t u m o l
matumolo	m a t u m o l o
na7u	n a 7 u
mawan	m a w a n
manusia	m a n u s i a
manusia	m a n u s i a
kawasa	k a w a s a
muaN	m u a N
manusia	m a n u s i a
mawan	m a w a n
noman	n o m a n
metu	m e t u
mat	m a t
kyat	k y a t
man	m a n
maN	m a N
manusia	m a n u s i a
manusia	m a n u s i a
emane	e m a n e
ma	m a
siniont~u	s i n i o nt~ u
nu	n u
man	m a n
nuNg~u	n u Ng~ u
mat	m a t
muaN	m u a N
metu	m e t u
manusia	m a n u s i a
masia	m a s i a
to	t o
to	t o
ta7u	t a 7 u
ata	a t a
ta7uh	t a 7 u h
ta7uh	t a 7 u h
etew	e t e w
ke7ilawan	k e 7 i l a w a n
3taw	3 t a w
tau	t a u
itaw	i t a w
taw	t a w
otow	o t o w
3t3w	3 t 3 w
3t3w	3 t 3 w
3taw	3 t a w
otaw	o t a w
3t3w	3 t 3 w
3t3w	3 t 3 w
taw	t a w
lanas	l a n a s
tau	t a u
etaw	e t a w
gotow	g o t o w
g3tau	g 3 t a u
manubu	m a n u b u
etew	e t e w
tau	t a u
tauna	t a u n a
to	t o
baNg~api	b a Ng~ a p i
mian	m i a n
toumata	t o u m a t a
tau	t a u
mia	m i a
tau	t a u
mia	m i a
tau	t a u
todapa	t o d a p a
tau	t a u
tau	t a u
mie	m i e
kalaki	k a l a k i
tau	t a u
tEu	t E u
tau	t a u
to	t o
mia	m i a
to	t o
mant~uari	m a nt~ u a r i
tau	t a u
tawu	t a w u
mie	m i e
ota	o t a
mi	m i
mia	m i a
mie	m i e
mie	m i e
tau	t a u
tono	t o n o
tau	t a u
tau	t a u
mia	m i a
mia	m i a
mia	m i a
ito	i t o
mia	m i a
to	t o
to	t o
mie	m i e
tauna	t a u n a
mie	m i e
tau	t a u
tau	t a u
tau	t a u
tau	t a u
tau	t a u
mia	m i a
tau	t a u
mia	m i a
tau	t a u
tau	t a u
tauna	t a u n a
int~au	i nt~ a u
mia	m i a
mia	m i a
mia	m i a
miano	m i a n o
miano	m i a n o
mie	m i e
mia	m i a
tau	t a u
tau	t a u
mia	m i a
to	t o
tow	t o w
tau	t a u
taumata	t a u m a t a
tau	t a u
tono	t o n o
toa	t o a
tau	t a u
