originals	tokenized
n	n
mEni	m E n i
n	n
m	m
min	m i n
men	m e n
ma	m a
em	e m
m	m
ni	n i
n	n
ni	n i
na	n a
ma	m a
n	n
m	m
mam	m a m
mioN7~	m i o N7~
a	a
mi	m i
na	n a
mi	m i
mi	m i
n	n
minu	m i n u
miN	m i N
n	n
ni	n i
be	b e
ma	m a
5i	5 i
5i	5 i
i5i	i 5 i
E5	E 5
gw~eni	gw~ e n i
55i	5 5 i
5i	5 i
5i	5 i
5i	5 i
iNi	i N i
5i	5 i
55i	5 5 i
ami	a m i
am	a m
n	n
mu	m u
ma	m a
mu	m u
m	m
mb~edua	mb~ e d u a
mu	m u
iri	i r i
ari	a r i
iyeri	i y e r i
ye	y e
iri	i r i
ami	a m i
may	m a y
ami	a m i
amu	a m u
3mu	3 m u
ma	m a
3m	3 m
mi	m i
mi	m i
em	e m
mi	m i
mi	m i
mi	m i
gem	g e m
g3n	g 3 n
ma	m a
mia	m i a
mu	m u
min	m i n
amE	a m E
3m	3 m
mE	m E
mi	m i
min	m i n
mi	m i
omu	o m u
mi	m i
ma	m a
5o5	5 o 5
k3do	k 3 d o
uNunowa	u N u n o w a
mo	m o
am3	a m 3
mo*	m o*
mo	m o
mo*	m o*
m3	m 3
Em	E m
mi	m i
omi	o m i
mu	m u
mini	m i n i
me	m e
m	m
mi*	m i*
ami	a m i
ami*	a m i*
mi	m i
me	m e
e5e	e 5 e
5E	5 E
mi*	m i*
na*	n a*
mi*	m i*
mu	m u
m	m
mi*	m i*
ma	m a
me	m e
mi	m i
amu	a m u
mi	m i
ine	i n e
ma	m a
ma	m a
mu	m u
me*	m e*
mi	m i
me	m e
medame	m e d a m e
amu	a m u
Emi	E m i
ko	k o
mE	m E
mma	m m a
lo	l o
mi	m i
mE	m E
yi*	y i*
me	m e
me	m e
5i	5 i
5i	5 i
mma	m m a
iny~a	i ny~ a
min	m i n
mi	m i
min	m i n
mi	m i
inje	i n j e
yami	y a m i
m3	m 3
i*ji	i* j i
i*ji	i* j i
be	b e
8ami	8 a m i
mi	m i
ma	m a
mma	m m a
5i	5 i
mi	m i
5ami	5 a m i
mi	m i
mi	m i
mi oxe	m i   o x e
ami	a m i
b"u	b" u
man	m a n
ma	m a
ma	m a
ma	m a
nam	n a m
my~i	my~ i
ami	a m i
mi	m i
amE	a m E
amu	a m u
inbo	i n b o
me	m e
ima	i m a
amE	a m E
mini	m i n i
in	i n
me	m e
imi	i m i
me	m e
mi	m i
mE	m E
mi	m i
me	m e
mi	m i
mum	m u m
me	m e
ime	i m e
mi	m i
imai	i m a i
imE	i m E
me	m e
nin	n i n
emi	e m i
ame	a m e
my~E	my~ E
Ng~3	Ng~ 3
Ng~3	Ng~ 3
mE	m E
Ngw$a	Ngw$ a
Ng~a	Ng~ a
