Grapheme	Frequency	Codepoint	UnicodeName
		3	U+0009	<control-0009>
*	1	U+002A	ASTERISK
/	19	U+002F	SOLIDUS
%	4	U+0025	PERCENT SIGN
~	1	U+007E	TILDE
