matched_rules	Left	Grapheme	Right	Class	IPA	Examples	Comments
2	affi	ch	e		ʃ	affiche	
1	mar	ch	eren		ʃ	marcheren	
1		ch	ic		ʃ	chic	
7		ch	rist		k	christen	
5		ci	en		ʃ	coëfficient	there are more of this, but difficult to classify
56		ci	a		ʃ	speciaal	
37		cc	[iey]		ks	accent, succes, vaccine, occidentaal	before high vowels
1	Curaç	ao			ɑu	Curaçao	
1	cac	ao			ɑu	cacao	
1	qu	ae	stuur		ɛ	quaestuur	
1	m	ae	stro		ɑɪ	maestro	
1	l	ae	sie		e	laesie	
1	gyn	ae	col		e	gynaecoloog	
28	m	ai	l		e	e-mail	
23		ay	$		eɪ	essay, display	
4		ú			y	nú	
1		ò			o	voorkòmen	
4		ó			o	zó	
4		á			a	ná	
18		zz		2	z	jazz, mazzel	
20		ü			y	reünie	
1013		ui			œy	huis, trui	
273		uu			y	vuur, duur	
250		tj			c	tjokvol, bootje	
408		tt		2	t	otter, motto	
76		sj			ʃ	sjaal, sjokken, sjablone, kalasjnikov, meisje	
625		ss		2	s	husselen, bessen	
236		rr		2	r	korrel	
41		qu			kʋ	aqua, quota	
273		pp		2	p	appel, kapper	
46		oi			ʋa	trottoir	
662		ou			ɑu	nou, stout, mouw, trouwen	is <ouw> something special?
1304		oe			u	snoep, stoer	
1530		oo			o	groot, dood	
408		nn		2	n	rennen, binnen	
273		mm		2	m	emmer, lammetje	
717		ll		2	l	alles, bolleboos	
328		kk		2	k	lekker, makkelijk	
1386		ij			ɛɪ	pijl, tapijt	
17		ï			i	coffeïne	
2582		ie			i	niet, kietel, knie	
117		gh			g	spaghetti	Also /ɣ/ is possible here
113		gg		2	ɣ	aanleggen, bagger	possibly often /x/
160		ff		2	f	roffel	
7		ê			ɛ:	gêne, enquête	
75		é			e	café, comité	
23		è			ɛ:	scène, suède	
44		ë			e	reële, beëdigen	
468		eu			ø	Europa, zeulen	
1025		ei			ɛɪ	peil, eik	
1769		ee			e	eet, zee	
177		dd		2	d	adder	
7		ç			s	façade, reçu	
151		ck		2	k	jack, picknick	
2002		ch		2	x	chaos, lachen, echo, school	
32		cc		2	k	accu	
63		bb		2	b	hobbel	
8		à			a	à	
207		au			ɑu	applaus, fauna, nauw, klauw	is <auw> something special?
205		ai			ɑɪ	mais, maizena	
2259		aa			a	aap, slaan	
5		ä			a	Kanaänieten, naäpen	
644	.	-	.			e-mail	
1		'	r		ə	d'r	
185	^|-	Z	.		z	Zweden	
6	^|-	Y	1		i	Yvonne	
27	^|-	Y	.		j	Yoga	
6	^|-	X	.		ks	Xanten	
316	^|-	W	.		ʋ	Waarom	
376	^|-	V	.		f	Vlaanderen	
343	^|-	T	.		t	Tilburg	
711	^|-	S	.		s	Spanje	
366	^|-	R	.		r	Rotterdem	
2	^|-	Q	aeda		k	Qaeda	
1	^|-	Q	aida		k	Qaida	
398	^|-	P	.		p	Parijs	
243	^|-	N	.		n	Nijmegen	
521	^|-	M	.		m	Maastricht	
373	^|-	L	.		l	Limburg	
354	^|-	K	.		k	Koninklijke	
182	^|-	J	.		j	Joods	
450	^|-	H	.		h	Holland	
396	^|-	G	.		ɣ	Groningen	
239	^|-	F	.		f	Friesland	
400	^|-	D	.		d	Delft	
383	^|-	C	.		k	Curaçao	
674	^|-	B	.		b	Belgisch	
1	^|-	U	w		y	Uw	
1	^|-	U	2		œ	Ubbergen	
14	^|-	U	11		œ	Ultra	
1	^|-	U	1$		œ	Uk	
26	^|-	U	.		y	Unilever	
19	^|-	O	2		ɔ	Ottomaans	
107	^|-	O	11		ɔ	Osdorp	
5	^|-	O	1$		ɔ	Om	
85	^|-	O	.		o	Olympisch	
20	^|-	I	2		ɪ	Immers, Innovatie	
96	^|-	I	11		ɪ	Islam	
5	^|-	I	1$		ɪ	Ik	
53	^|-	I	.		i	Italië	
58	^|-	E	2		ɛ	Emmen	
68	^|-	E	11		ɛ	Ernst	
5	^|-	E	1$		ɛ	Er	
110	^|-	E	.		e	Enig	
78	^|-	A	2		ɑ	Adder	
211	^|-	A	11		ɑ	Ander	
5	^|-	A	1$		ɑ	Al	
193	^|-	A	.		a	Adel	
1	fe	z	$		z	fez	
1	cra	y	on		j	crayon	
1	ro	y	aal		j	royaal	/j/ between vowels, but infrequent
1	id	y	lle		ɪ	idylle	
1	n	y	lon		ɛɪ	nylon	
42		z	$		s	quiz, hertz	Final Devoicing
17		v	$		f	pilav, kalasjnikov	Final Devoicing
1634	^	v			f	vier	Initial Devoicing
7	s	u	cces		y	succes	
1	ïll	u	stre		y	geïllustreerd	
1	r	u	mba		u	rumba	
406		u	2		œ	rubber	
982		u	11		œ	buks, fust	
50		u	w		y	uw, ruw	
352		u	1$		œ	dun	
93	c	t	ies?$		s	attracties	
678		t	ies?[^kf]		ts	acquisitie, journalistiek, creatief	not with "journalistiek" or "creatief"
5	amu	s	e		z	amuse	
10	fa	s	e		z	fase	
1		q	werty		k	qwerty-toetsenbord	
1	^	q	at		k	qat	
13	l	o	ge		ɔ:	loge	
926		o	2		ɔ	otter	
3189		o	11		ɔ	lompen	
656		o	1$		ɔ	rot	
6		n	q		ŋ	enquête	
41		n	c[aou]		ŋ	brancard	
420		n	k		ŋ	dank, stinken	
1	fauteui	l				fauteuil	not pronounced
1	su	j	et		ʒ	sujet	
1	^	j	us$		ʒ	jus	
4		j	azz		ɟ	jazz	
1		j	eep		ɟ	jeep	
1		j	unta		ɣ	junta	
17	mil	i	eu		j	milieu	
7	serv	i	ce		ə	service	
2	zan	i	k		ə	zanik	
1	fak	i	r		i	fakir	exception to i->ɪ/_1$
2	aff	i	che		i	affiche	exception to i->ɪ/_CC, as "ch" counts as CC
2	p	i	zza		i	pizza	exception to i->ɪ/_CC
2	v	i	lla		i	villa	exception to i->ɪ/_CC
468	[^eu]	i	ge?[nr]?$		ə	zuinig, aanwezige, beëdigen	Suffix "-ig". Cases in compounds are not captured
7	[^eu]	i	ke[nr]		ɪ	perziken, monniken, prediker	exception to i->i
284		i	sch		i	akademisch	special suffix -isch(e)
2768		i	2		ɪ	ridder	before double consonant grapheme
1881		i	11		ɪ	simpel	before two different consonsonants
438		i	1$		ɪ	lip	before single consonant and end of word
12	[^c]	h	n			föhn	not pronounced
49	[^sc]	h	$			sjah, sereh, joh	not pronounced
2	asper	g	e		ʒ	asperge	
1	bei	g	e		ʒ	beige	
1		g	êne		ʒ	gêne	
1	^	g	in$		ɟ	gin	
2		g	oal		g	goal	
1	^	e	nsce		ɑ̃	enceneren	
1	^	e	nqu		ɑ̃	enquête	
2	^	e	ntre		ɑ̃	entree, entrecote	
11	qu	e	$			cheque, plaque, toque	not pronounced
1	bas	e	ball			baseball	not pronounced
1	trecot	e				entrecote	note pronounced
2	saf	e				safe	not pronounced
3	rac	e				race	not pronounced
7	servic	e				service	not pronounced
4	transf	e	r		ɛ:	transfer	
4934	[gb]	e	[^ie]		ə	vasten, gemaakt	TO DO: further unstressed syllables, e.g. ^ge, ^be
8829		e	[nlr]?$		ə	lange, peper, stempel, rennen	unstressed syllables at end of word, e.g. el$, en$, er$
1365		e	2		ɛ	lessen, letter	before double consonant grapheme
6933		e	11		ɛ	stempel, ekster	before two different consonsonants
881		e	[^nlr]$		ɛ	les, pet, gebed	before single consonant and end of word
1	foular	d				foulard	not pronounced
1	boulevar	d				boulevard	not pronounced
1	brancar	d				brancard	not pronounced
428		d	s		t	loods, gids	
507		d	[rw]		d	dwars, droog	
2299		d	1|$		t	bad, hond	final devoicing
571		c	[iey]		s	centrum, cirkel, specie	before high vowels
